brainregion,disease,text,pubdate
BRAIN HIPPOCAMPUS,Functional disorder,Previous data indicate that estradiol treatment corrects several dysfunctions of the hippocampus and hypothalamus of SHR.,2013 Sep
Cerebral cortex,cortex bone disorders,Delimited regions of the cortex were revealed by circumscribed stimulations of the visual field (cortical response field).,2013 Apr 25
Dorsal Nucleus Raphe,cortex bone disorders,Our hypothesis is that this feedback circuit from the striatum to the cortex to the DRN to the striatum serves to stabilize the balance between the direct and indirect pathways and this is confirmed by our model calculations.,2013 May 24
Cerebral hemisphere structure (body structure),Brain Diseases,The recruitment of neutrophils into the cerebral microcirculation occurs especially in acute brain diseases like a focal cerebral ischemia and plays important role in pathological processes.,2013 Aug 26
Pituitary Gland,Pituitary Diseases,Exposure to stress activates the hypothalamic-pituitary-adrenal (HPA) axis that stimulates glucocorticoid (GC) release from the adrenal.,2014 Sep
Ventral Tegmental Area,Stereotypic Movement Disorder,The same HSV-M5 gene transfections in M5 knockout mice induced even stronger inhibitory behavioural effects in RMTg but more variability in VTA sites due to stereotypy.,2013 Sep
Inferior Colliculus,Syndrome,NT manipulation has been tested in animal models of bladder dysfunction and recently NGF downregulation achieved by administration of a monoclonal antibody has also been tested in patients with BPS/IC and chronic prostatitis/chronic pelvic pain syndrome (CP/CPPS).,2014 Jan
BRAIN HIPPOCAMPUS,Prune Belly Syndrome,In the current study we systematically explored the neurotoxicity of PbS NPs in rats by measuring the body weight and brain coefficient changes testing memory behaviors in Y-electric maze and studying the neuronal ultrastructure and pathology in hippocampus.,2013 Sep
Pyramidal Cells,cortex bone disorders,Our findings suggest that the dendritic protrusions in layer VI barrel cortex pyramidal neurons are not static and their density as well as relative morphological distribution change over time.,2014 Sep
Corpus striatum structure,cortex bone disorders,One hypothesis was: if prolonged synaptic activation distributed along time was present then it would be mainly generated from the cortex and not from the striatum.,2013 Jun 20
Corpus striatum structure,cortex bone disorders,A strong activation of interneurons was obtained from the cortex demonstrating that polysynaptic activation includes the striatum.,2013 Jun 20
Pyramidal Cells,cortex bone disorders,The results showed that ER-α36 was expressed both in hippocampus and cortex of adult rats but mainly distributed in pyramidal neurons.,2013 Jun 25
Pontine structure,Alzheimer's Disease,Results:                    In patients with ESRD AD RD and MD values were significantly increased whereas the FA value was significantly decreased mostly in the corpus callosum bilateral sagittal stratum and pons.,2013 Oct
Dentate nucleus,Alzheimer's Disease,The aim of this study was to characterize in a sample of 100 healthy middle-aged and old subjects (mean=63.8 years) the relationship between gF and indices of WM structure obtained from diffusion tensor magnetic resonance imaging (DT-MRI) (fractional anisotropy (FA) mean diffusivity (MD) radial diffusivity (RD) and axial diffusivity (AD)).,2013 Dec
Central Dorsal Nucleus,Hamartoma Syndrome Multiple,We performed intracerebroventricular injections of recombinant AAV serotype 5-green fluorescent protein (rAAV5-GFP) or rAAV9-GFP in embryonic day 15 (E15) embryos of CD-1 and C57BL/6 pregnant mice and quantified the percentages of GFP expression in CP epithelia (CPE) from lateral and fourth ventricles on E17 postnatal day 2 (P2) and P22.,2013 Jun 25
BRAIN HIPPOCAMPUS,Camurati-Engelmann Syndrome,AMPA-activated current (IAMPA ) in hippocampal CA1 pyramidal neurons was increased by hypotonicity and 4α-PDD which was attenuated by HC-067047.,2013 Nov
Midbrain structure,Parkinson Disease,Although Parkinson's disease is a neurodegenerative disease primarily involving basal ganglia and midbrain the deficit of white matter is also involved during the disease progression.,2013 Aug 29
Structure of nucleus infundibularis hypothalami,Depressive disorder,On the other hand estrogen administration to ovariectomized animals produced a marked depression of mRNA levels in all the regions of the arcuate nucleus with the exception of the most caudal one.,1990 Apr 20
Structure of piriform area,Meconium Aspiration Syndrome,Mas is not only expressed in the periphery but also within the brain e.g. in the dentate gyrus (DG) and the piriform cortex (PC).,2014 Feb
BRAIN HIPPOCAMPUS,Fragile X Syndrome,Thus EE rearing revealed greater effects of the Fmr1 mutation on hippocampal pyramidal cell morphology than was evident with standard housing suggesting that environmental enrichment allows for fuller appreciation of the impact of the mutation and better representation of abnormalities likely to be present in human FXS.,2015 Feb
Structure of angular gyrus,Macrophage Activation Syndrome,Ang-(1-7) acting via Mas receptor was documented in kidneys heart brain and gastrointestinal (GI)-tract.,2013 Dec
BRAIN HIPPOCAMPUS,Alzheimer's Disease,Here we showed that injection of IKVAV-PA into the hippocampus of a transgenic (Tg) mice model of Alzheimer's disease (AD) significantly improved cognitive impairment accompanied by an enhanced neurogenesis in the hippocampus.,2013 Nov 27
Pituitary Gland,Pituitary Diseases,Hormones in the hypothalamus-pituitary-adrenal (HPA) axis mediate many of the bodily responses to stressors yet there is no clear relationship between the levels of these hormones and stress-associated mental illnesses such as posttraumatic stress disorder (PTSD).,2014 Dec
Pituitary Gland,Disorders Mental,Hormones in the hypothalamus-pituitary-adrenal (HPA) axis mediate many of the bodily responses to stressors yet there is no clear relationship between the levels of these hormones and stress-associated mental illnesses such as posttraumatic stress disorder (PTSD).,2014 Dec
BRAIN HIPPOCAMPUS,Chromosome 11p11.2 Deletion Syndrome,Our method confirmed the large size of mPFC PSs and a linear correlation between presynaptic features of typical hippocampal synapses.,2014 Feb 1
Brain Stem,Uterine Diseases,To determine a possible brainstem connection with the uterus a study with electrophysiological techniques and horseradish peroxidase (HRP) tracing was performed in the rat.,1990 Sep
Pyramidal Cells,Chimera (disorder),Thus normally resistant B6-ROSA pyramidal neurons demonstrated an increasing sensitivity to KA in a linear fashion when the percentage of FVB-GFP cells was increased either across chimeras or in different regions of the same chimera.,2012 Aug 29
basolateral nucleus of the amygdala,Obsessive-Compulsive Disorder,In the OCD group anterior callosal thickness was positively correlated with GM density of the right mid-dorso-lateral prefrontal (BA 9/46) area while posterior callosal thickness was positively correlated with GM density in the left supramarginal gyrus (BA 40).,2013 Oct
BRAIN HIPPOCAMPUS,Syndrome Bloch-Sulzberger,The neuroprotective effect was lost in IP(3)R2-/- mice treated with 2MeSADP. Immunocytochemical labeling of brain slices confirmed that P2Y(1)R expression was defined to cortical and hippocampal astrocytes but not neurons.,2013 Jan 1
Anterodorsal nucleus of thalamus,Alzheimer's Disease,Recent evidence has linked the hormone leptin to AD as leptin levels are markedly attenuated in AD patients.,2013 Jan
Purkinje Cells,Brain Diseases,We have shown that heterokaryon formation takes place in control subjects and that the frequency of this event is considerably increased in patients with multiple sclerosis the prototypical inflammatory brain disease with ~0.4% of Purkinje cells being binucleate heterokaryons.,2012 Oct
BRAIN HIPPOCAMPUS,Nail-Patella Syndrome,This study focuses on the effects of Fe(3)O(4)-NPs on the striatum and hippocampus including oxidative injury and the accumulation and retention of Fe(3)O(4)-NPs.,2013 Jan
Pituitary Gland,Depressive disorder,Corticotropin-releasing factor (CRF) produced in the hypothalamic paraventricular nucleus (PVN) is considered the central driver of the hypothalamic-pituitary-adrenal (HPA) axis and plays a key role in the pathogenesis of depression.,2015 Mar 19
Pyramidal Cells,cortex bone disorders,Subpopulations of layer 5 (L5) pyramidal cells that selectively project to the pontine nuclei or to the contralateral cortex [commissural (COM) cells] also target diverse and sometimes overlapping ipsilateral cortical areas.,2013 Oct 11
Midbrain structure,Mood Disorders,The first section of the manuscript highlights the pivotal role of exaggerated threat responses-mediated by circuits connecting the frontal cortex amygdala and midbrain-in anxiety and reviews data indicating that genotypic variation in the serotonin system is associated with hyperactivity in this circuitry which elevates the risk for anxiety and mood disorders.,2014 Mar
Brain Stem,Spinal Cord Diseases,In support this study determined properties of spinal cord/SC bridge interfaces that enabled regenerated brainstem axons to cross them possibly leading to improvement in rat hindlimb movement.,2015
Anterodorsal nucleus of thalamus,Alzheimer's Disease,Although no correlation between mtDNA deletion levels and AD progression were found the data revealed regional and cell type specific selective vulnerability towards mtDNA deletion levels.,2013 Dec
BRAIN HIPPOCAMPUS,Alzheimer's Disease,In conclusion unexpected results were obtained as granule cells from the cerebellum and neurons from the nucleus tractus spinalis nervi trigemini of the brain stem displayed significant higher mtDNA deletion levels than pyramidal cells from hippocampal CA1 and CA2 region in age and AD.,2013 Dec
