"brainregion","protein","count"
"Midbrain structure","Transforming Growth Factors","9"
"Parabrachial Nucleus","Receptor","9"
"Basal Ganglia","Cancer/Testis Antigen","9"
"Corpus striatum structure","sialosyl-Tn antigen","9"
"Nucleus Accumbens","Protein Isoforms","9"
"Dorsal Nucleus Raphe","INSR protein, human","9"
"Corpus striatum structure","Protein Kinase C","9"
"Cerebellum","Phospholipase C","9"
"Cerebellum","5' Nucleotidase","9"
"BRAIN, HIPPOCAMPUS","CREB Binding Protein","9"
"Trigeminal Caudal Nucleus","INSR protein, human","9"
"Median eminence of hypothalamus","Arginine Vasopressin-Neurophysin II Preproprotein","9"
"Cerebral cortex","F-Actin","9"
"Midbrain structure","Ion Channel","9"
"Genus Hippocampus","Growth Hormone Secretagogue Receptor","9"
"Set of basolateral nuclei of amygdala","Serotonin","9"
"Internal arcuate tract","Chloramphenicol O-Acetyltransferase","9"
"Trigeminal Nuclei","Proto-Oncogene Proteins c-fos","9"
"Inferior olivary nucleus","Serotonin","9"
"Hypothalamic Area, Lateral","Receptors, LH","9"
"Neocortex","Myelin","9"
"Thalamic structure","Tumor Necrosis Factors","9"
"Lobe, Frontal","Colony-Stimulating Factors","9"
"Dorsal tegmental nucleus","N-Methylaspartate","9"
"Superior colliculus of corpora quadrigemina","Tyrosine 3-Monooxygenase","9"
"Hypothalamic structure","Cre recombinase","9"
"Olfactory Nerve","Receptor","9"
"Brain Stem","Fibroblast Growth Factor 2","9"
"Thalamic structure","IRF6 wt Allele","9"
"Structure of supraoptic nucleus","Endothelin","9"
"Prefrontal Cortex","VEGF protein, human","9"
"Somatosensory Cortex","Proteins","9"
"Structure of nucleus infundibularis hypothalami","Mullerian duct inhibiting substance","9"
"Genus Hippocampus","Protein phosphatase","9"
"Nucleus solitarius","Membrane Transport Proteins","9"
"Cerebellum","Protein, Nestin","9"
"Anterodorsal nucleus of thalamus","Peroxisome Proliferator-Activated Receptors","9"
"Cerebral cortex","Endoglin","9"
"BRAIN, HIPPOCAMPUS","SMAD3 protein, human","9"
"Neostriatum","Nitric Oxide Synthase Type II","9"
"Structure of putamen","Tyrosine 3-Monooxygenase","9"
"Structure of area postrema","Glial Fibrillary Acidic Protein","9"
"Hypothalamic structure","Receptors, Opioid, mu","9"
"Genus Hippocampus","moira protein, Drosophila","9"
"Cerebral hemisphere structure (body structure)","Immune Sera","9"
"CA3 field","Dyes","9"
"Pontine nuclei","Serpin E2","9"
"Corpus striatum structure","Nitric Oxide Synthase Type II","9"
"Median eminence of hypothalamus","Interleukin-1","9"
"Amygdaloid structure","APP protein, human","9"
"Pyramidal Cells","Protein Kinases","9"
"Pregeniculate nucleus","Y, Neuropeptide","9"
"Substantia Nigra Pars Reticulata","Parvalbumins","9"
"Cerebral cortex","Peptide Hydrolases","9"
"Cerebral Ventricles","Peptides","9"
"Cerebral cortex","Monomeric GTP-Binding Proteins","9"
"Gyrus Cinguli","Fragile X Mental Retardation Protein","9"
"Caudate nucleus structure","N-Methylaspartate","9"
"Midbrain structure","NADH Dehydrogenase (Ubiquinone)","9"
"Prefrontal Cortex","Phosphotransferases","9"
"Globus Pallidus","Calbindin 1","9"
"Prefrontal Cortex","SH3 and Multiple Ankyrin Repeat Domains Protein 3","9"
"Caudate nucleus structure","Transporter, Dopamine","9"
"Corpus striatum structure","Corticotropin-Releasing Hormone","9"
"Cerebellum","Glycogen Synthase Kinase 3","9"
"CA2 field","Islet Amyloid Polypeptide","9"
"BRAIN, HIPPOCAMPUS","Haem oxygenase (decyclising)","9"
"Substantia innominata","Genes","9"
"Solitary tract","Peptides","9"
"CA3 field","Tyrosine 3-Monooxygenase","9"
"BRAIN, HIPPOCAMPUS","Monoamine Oxidase","9"
"BRAIN, HIPPOCAMPUS","Hypoxia-Inducible Factor 1","9"
"Cerebral cortex","Transporter, Serotonin","9"
"CA1 field","Peplomycin","9"
"Ventral Tegmental Area","Antibodies","9"
"Prefrontal Cortex","tau Proteins","9"
"Anterodorsal nucleus of thalamus","NFIA protein, human","9"
"Structure of locus ceruleus","Glial Cell Line-Derived Neurotrophic Factor","9"
"Somatotrophs","Pituitary Hormones, Anterior","9"
"Nucleus solitarius","Sincalide","9"
"Midbrain structure","Glycosylation End Products, Advanced","9"
"Cerebellar Nuclei","Genes","9"
"Cerebellum","Lysine","9"
"Medulla Oblongata","Endogenous Opiates","9"
"Medulla Oblongata","Amyloid beta-Protein Precursor","9"
"Neostriatum","Ubiquitin","9"
"Dorsal Nucleus Raphe","HCRT wt Allele","9"
"CA1 field","Enkephalins","9"
"Cerebellum","Cyclic GMP-Dependent Protein Kinases","9"
"Cerebellum","5-Hydroxytryptamine Receptor 1A, human","9"
"BRAIN, HIPPOCAMPUS","Macrophage Inflammatory Proteins","9"
"BRAIN, HIPPOCAMPUS","lycopene","9"
"BRAIN, HIPPOCAMPUS","Fluorescein","9"
"BRAIN, HIPPOCAMPUS","GLYCOGEN STARCH SYNTHASE","9"
"Substantia nigra structure","Peroxidases","9"
"Hindbrain","Gonadorelin","9"
"Structure of anterior commissure","Peptides","9"
"Insula of Reil","Horseradish Peroxidase","9"
"Preoptic Areas","Immune Sera","9"
"Genus Hippocampus","Cathepsin B","9"
"Superior colliculus of corpora quadrigemina","Protein Subunits","9"
"Structure of rubrospinal tract","Granulocyte-Macrophage Colony-Stimulating Factor","9"
"Cerebral cortex","Synuclein Gamma","9"
"Cerebral cortex","CDK5 protein, human","9"
"Pyramidal Cells","Calmodulin 1","9"
"Nucleus, Medial Oculomotor","Receptor","9"
"Substantia nigra structure","Ceruloplasmin","9"
"Pontine nuclei","Genes","9"
"BRAIN, HIPPOCAMPUS","Phenylalanine","9"
"CA2 field","DNA, Complementary","9"
"CA2 field","Antiporters","9"
"BRAIN, HIPPOCAMPUS","Low-Density Lipoproteins","9"
"Dorsal Nucleus Raphe","GABA Receptor","9"
"Cerebellum","Glycoprotein Hormones, alpha Subunit","9"
"Parabrachial Nucleus","Galanin","9"
"Hypothalamic Area, Lateral","Endoglin","9"
"BRAIN, HIPPOCAMPUS","Neutrophil gelatinase-associated lipocalin","9"
"Structure of dorsomedial hypothalamic nucleus","INSR protein, human","9"
"Cerebral cortex","Transporter, Dopamine","9"
"Structure of suprachiasmatic nucleus","Glucose","9"
"Central gray substance of midbrain","Neuropeptides","9"
"Neocortex","Synaptophysin","9"
"Prefrontal Cortex","Cyclic AMP-Dependent Protein Kinases","9"
"Cerebellum","UBC protein, human","9"
"Nucleus, Principal Pretectal","Serotonin","9"
"Genus Hippocampus","Dickkopf-Related Protein 1","9"
"Superior colliculus of corpora quadrigemina","Dyes","9"
"Amygdaloid structure","GABA Receptor","9"
"Lateral superior olivary nucleus","Calbindin 1","9"
"Structure of dentate gyrus","Ghrelin","9"
"Purkinje Cells","Somatostatin","9"
"Genus Hippocampus","Ganciclovir","9"
"Habenula","Protein Subunits","9"
"Lobe, Frontal","Calretinin","9"
"CA2 field","Dopamine D2 Receptor","9"
"Structure of ventromedial hypothalamic nucleus","Insulin","9"
"Genus Hippocampus","GTP-Binding Proteins","9"
"Genus Hippocampus","Glycogen Synthase Kinases","9"
"Hypothalamic structure","Peptide Hormone","9"
"Pars Compacta","Immunoglobulins","9"
"Genus Hippocampus","polysialic acid","9"
"Anterodorsal nucleus of thalamus","NFIC protein, human","9"
"Dorsal Septal Nucleus","Retinaldehyde","9"
"BRAIN, HIPPOCAMPUS","Interleukin-1 alpha","9"
"central amygdalar nucleus","Calcium","9"
"Rostrotemporal auditory area","Protein Subunits","9"
"Inner Auditory Hair Cells","Proteins","9"
"Pyramidal Cells","Argipressin","9"
"BRAIN, HIPPOCAMPUS","Heterogeneous-Nuclear Ribonucleoprotein K","9"
"BRAIN, HIPPOCAMPUS","potassium oxonate","9"
"Occipital lobe","Synucleins","9"
"Telencephalon","Somatostatin","9"
"Cerebral hemisphere structure (body structure)","Catenins","9"
"Genus Hippocampus","Ferritin","9"
"Auditory area","Protein Subunits","9"
"Cerebral cortex","Cytoskeletal Proteins","9"
"Cerebellum","Transforming Growth Factors","9"
"Structure of dentate gyrus","Calbindins","9"
"Cerebral cortex","Glycoprotein Hormones, alpha Subunit","9"
"BRAIN, HIPPOCAMPUS","Semaphorin-3A","9"
"Prosencephalon","Dopamine Receptor","9"
"Temporal Lobe","Acetylcholinesterase","9"
"Hypothalamic structure","Glutamate Decarboxylase","9"
"Genus Hippocampus","SYNPO protein, human","9"
"Hypothalamic structure","Leucine","9"
"Genus Hippocampus","Lectin","9"
"Structure of nucleus prepositus","Fibrinogen","9"
"Nucleus Accumbens","Calcium","9"
"Structure of dorsal cochlear nucleus","Chloramphenicol O-Acetyltransferase","9"
"Cerebral hemisphere structure (body structure)","Chromatin","9"
"CA1 field","Taurine","9"
"Neocortex","Cholecystokinin","9"
"Pituitary Gland","Cytokine","9"
"Pretectal region","Y, Neuropeptide","9"
"Corpus striatum structure","Receptor, Cannabinoid","9"
"Cerebellum","Alanine","9"
"Nucleus solitarius","Insulin","9"
"BRAIN, HIPPOCAMPUS","Epoxide hydrolase","9"
"Cerebral hemisphere structure (body structure)","Phosphotransferases","9"
"Lateral ventricle structure","Colony-Stimulating Factors","9"
"Telencephalon","Thyrotropin-Releasing Hormone","9"
"Structure of locus ceruleus","Glucocorticoid Receptor","9"
"Amygdaloid structure","Neural Cell Adhesion Molecules","9"
"Midbrain structure","Opioid Receptor","9"
"Cerebellum","Ryanodine Receptor Calcium Release Channel","9"
"Brain Stem","Argipressin","9"
"Cerebral cortex","Sodium Channel","9"
"Globus Pallidus","Wheat Germ Agglutinins","9"
"Pedunculopontine Tegmental Nucleus","NADPH Dehydrogenase","9"
"Optic tract structure","Antibodies","9"
"Cerebral cortex","Cathepsin D","9"
"Midbrain structure","Immune Sera","9"
"Substantia Nigra Pars Reticulata","Chloramphenicol O-Acetyltransferase","9"
"Purkinje Cells","Colony-Stimulating Factors","9"
"Cerebral cortex","Stem Cell Factor","9"
"Structure of locus ceruleus","Protein Kinase C","9"
"Structure of paraventricular nucleus","Insulin","9"
"Structure of dentate gyrus","Dystrophin","9"
"Thalamic structure","Tubulin","9"
"Cerebral cortex","Peroxisome Proliferator-Activated Receptors","9"
"CA1 field","LCN2 protein, human","9"
"Midbrain structure","GABA Receptor","9"
"Nucleus Accumbens","2 Ala 4 MePhe 5 Gly Enkephalin","9"
"Midbrain structure","Caspase-3","9"
"Structure of subthalamic nucleus","Protein Subunits","9"
"Ventral Tegmental Area","Mitogen-Activated Protein Kinases","9"
"Corpus striatum structure","P53 Protein","9"
"Structure of entorhinal cortex","Microtubule-Associated Proteins","9"
"Trigeminal Nuclei","Horseradish Peroxidase","9"
"mossy fiber","Chloramphenicol O-Acetyltransferase","9"
"CA1 field","D-Serine","9"
"Medulla Oblongata","Dopa","9"
"Anterodorsal nucleus of thalamus","NFIX protein, human","9"
"Globus Pallidus","Dopamine D1 Receptor","9"
"Motor Cortex","RTN4 protein, human","9"
"Cerebral cortex","Cofilin 1","9"
"Lobe, Frontal","Dopa","9"
"BRAIN, HIPPOCAMPUS","Macrophage Inflammatory Protein-1","9"
"BRAIN, HIPPOCAMPUS","PI3 protein, human","9"
"Preoptic Areas","Glutamate Decarboxylase","9"
"Neostriatum","sialosyl-Tn antigen","9"
"Thalamic structure","Paired Mesoderm Homeobox Protein 2B","9"
"mossy fiber","SYNPO protein, human","9"
"Parietal Lobe","Acetylcholinesterase","9"
"CA1 field","Receptor, Cannabinoid, CB1","9"
"Corpus striatum structure","Microtubule-Associated Proteins","9"
"Pyramidal Cells","moira protein, Drosophila","9"
"Medulla Oblongata","Nitric Oxide Synthase Type I","9"
"Genus Hippocampus","Calcitonin Gene-Related Peptide","9"
"CA1 field","Calmodulin","9"
"Ventral Tegmental Area","Fibroblast Growth Factor 2","9"
"Ventral Tegmental Area","Delta-Like Protein 1, human","9"
"Structure of endopeduncular nucleus","Receptor","9"
"Medulla Oblongata","Corticotropin","9"
"Hypothalamic structure","Parvalbumins","9"
"Preoptic Areas","Horseradish Peroxidase","9"
"Pyramidal Cells","Myelin","9"
"Neostriatum","IRF6 wt Allele","9"
"Cerebellar cortex structure","Peptides","9"
"Prosencephalon","Calmodulin","9"
"Posterior Hypothalamic Region","orexins","9"
"Genus Hippocampus","Adenylate Cyclase","9"
"Pineal gland","Undecaprenyl-phosphate galactose-phosphotransferase","9"
"Cerebral cortex","Cre recombinase","9"
"Median preoptic nucleus","Angiotensin-2","9"
"Claustral structure","Chloramphenicol O-Acetyltransferase","9"
"Entire medulla oblongata","FOS Protein","9"
"mossy fiber","Opioid Peptide","9"
"Cerebral hemisphere structure (body structure)","Glycine","9"
"Substantia nigra structure","Interleukin-1","9"
"Entire medulla oblongata","Glutamate Decarboxylase","9"
"Prosencephalon","Glucocorticoid Receptor","9"
"Auditory area","Calcium","9"
"Anterodorsal nucleus of thalamus","Choline O-Acetyltransferase","9"
"Substantia nigra structure","Cyclooxygenase 2","9"
"BRAIN, HIPPOCAMPUS","Dynein ATPase","9"
"Gonadotrophs","Receptor","9"
"BRAIN, HIPPOCAMPUS","PTPRT protein, human","9"
"Genus Hippocampus","Sirolimus","9"
"CA3 field","Erythropoietin","9"
"Entire medulla oblongata","Arginine","9"
"Diagonal Band of Broca","INSR protein, human","9"
"BRAIN, HIPPOCAMPUS","IGBP1 protein, human","9"
"Cerebellum","Glucose Transporter","9"
"Neostriatum","5-Hydroxytryptamine Receptor 1A, human","9"
"Structure of terminal stria nuclei of preoptic region","Serotonin","9"
"CA1 field","Calpain","9"
"Linear nucleus","Peroxidase stain","9"
"Pontine structure","Nitric Oxide Synthase","9"
"Globus Pallidus","Receptor, Cannabinoid","9"
"Basal Nucleus of Meynert","Calbindin 1","9"
"Pituitary Gland","HCRT Gene","9"
"Structure of thalamic reticular nucleus","N-Methylaspartate","9"
"Genus Hippocampus","Matrix Metalloproteinases","9"
"Superior colliculus of corpora quadrigemina","Vasoactive Intestinal Peptide","9"
"Brodmann area 18","Methylene blue","9"
"BRAIN, HIPPOCAMPUS","Annexin A5","9"
"Purkinje Cells","Complement System Proteins","9"
"Structure of piriform area","Neuronal Migration Protein Doublecortin","9"
"Structure of dentate gyrus","Appetite-Regulating Hormone","9"
"Lateral superior olivary nucleus","Protein Subunits","9"
"Basal Forebrain","Calbindin 1","9"
"CA2 field","voltage gated channel","9"
"Medulla Oblongata","Delta-Like Protein 1, human","9"
"Prosencephalon","Glycoproteins","9"
"Midbrain structure","DNA, Mitochondrial","9"
"Structure of angular gyrus","Tumor Necrosis Factors","9"
"CA1 field","alanylglutamine","9"
"Inferior Colliculus","Peptides","9"
"Hypothalamic structure","Transforming Growth Factor alpha","9"
"Neostriatum","P53 Protein","9"
"Structure of angular gyrus","Oxytocin","9"
"Amygdaloid structure","Receptors, Corticotropin-Releasing Hormone","9"
"Cerebral cortex","Receptor Protein-Tyrosine Kinases","9"
"Brain Stem","Glutamate Decarboxylase","9"
"Substantia nigra structure","CRK protein, human","9"
"Anterodorsal nucleus of thalamus","NFIB protein, human","9"
"Neocortex","NADPH Dehydrogenase","9"
"BRAIN, HIPPOCAMPUS","Tenascin","9"
"BRAIN, HIPPOCAMPUS","HPCA protein, human","9"
"Medulla Oblongata","NADP","9"
"CA2 field","Tyrosine 3-Monooxygenase","9"
"CA1 field","protein TDP-43","9"
"Lateral geniculate complex","Receptor","9"
"Motor Cortex","Proto-Oncogene Proteins c-fos","9"
"Pontine nuclei","Choline O-Acetyltransferase","9"
"Structure of angular gyrus","Atrial Natriuretic Factor","9"
"Prosencephalon","Poly ADP Ribose Polymerase","9"
"Neostriatum","Calmodulin 1","9"
"Hypothalamic structure","Pituitary Hormones","9"
"CA2 field","NADP","9"
"Pyramidal Cells","Tretinoin","9"
"Cortex, Primary Motor","Cloning Vectors","9"
"Cerebral cortex","S-Adenosylmethionine","9"
"BRAIN, HIPPOCAMPUS","ERG protein, human","9"
"CA2 field","Phenylalanine","9"
"Structure of hippocampal fissure","Thyrotropin-Releasing Hormone","9"
"BRAIN, HIPPOCAMPUS","Connexins","9"
"Thalamic Nuclei","Chloramphenicol O-Acetyltransferase","9"
"Cerebral cortex","Somatostatin Receptor","9"
"Pyramidal Cells","Receptors, Purinergic P1","9"
"BRAIN, HIPPOCAMPUS","sildenafil","9"
"Corpus Callosum","Brain-Derived Neurotrophic Factor","9"
"Caudate nucleus structure","Somatostatin","9"
"BRAIN, HIPPOCAMPUS","Endopeptidases","9"
"Genus Hippocampus","FOXO3A protein, human","9"
"Midbrain structure","Proto-Oncogene Proteins c-fos","9"
"Cerebral hemisphere structure (body structure)","Interferons","9"
"Hypothalamic Area, Lateral","Immune Sera","9"
"Lateral geniculate complex","Calbindins","9"
"Hypothalamus, Anterior","Vasoactive Intestinal Peptide","9"
"Structure of thalamic reticular nucleus","Nerve Growth Factor","9"
"Amygdaloid structure","Receptor, Cannabinoid, CB1","9"
"Entire medulla oblongata","Thyrotropin-Releasing Hormone","9"
"Prosencephalon","myelination","9"
"Temporal Lobe","Microtubule-Associated Proteins","9"
"Structure of locus ceruleus","Cyclic AMP-Responsive DNA-Binding Protein","9"
"BRAIN, HIPPOCAMPUS","DNA Modification Methylases","9"
"Pineal gland","Mitogen-Activated Protein Kinases","9"
"Cerebral cortex","Tropomyosin","9"
"Structure of olfactory bulb","Enzymes","9"
"External capsule","Serotonin","9"
"Basal Ganglia","Choline O-Acetyltransferase","9"
"BRAIN, HIPPOCAMPUS","Dipyridamole","9"
"Lobe, Frontal","Synucleins","9"
"Prosencephalon","Galanin","9"
"Anterodorsal nucleus of thalamus","Prealbumin","9"
"Cerebral cortex","NeuroD protein","9"
"Cerebral cortex","Thioguanine","9"
"Nuclei, Raphe","Corticotropin-Releasing Hormone","9"
"Globus Pallidus","Neurotensin","9"
"Lateral ventricle structure","Granulocyte-Macrophage Colony-Stimulating Factor","9"
"Cerebral hemisphere structure (body structure)","Citric Acid Cycle","9"
"Structure of ventromedial hypothalamic nucleus","Serotonin","9"
"Corpus striatum structure","Neurokinin A","9"
"Hypothalamic structure","fibroblast growth factor 21","9"
"Hypothalamic structure","Thyrotropin","9"
"Hypothalamic structure","Delta Sleep-Inducing Peptide","9"
"Nucleus solitarius","Hypoxia Inducible Factor Family","9"
"Genus Hippocampus","Synuclein Gamma","9"
"CA1 field","Erythropoietin","9"
"BRAIN, HIPPOCAMPUS","Tetracycline","9"
"basolateral nucleus of the amygdala","Receptor","9"
"Nucleus Raphe Magnus","Thyrotropin-Releasing Hormone","9"
"Hypothalamic structure","Gonadotropin-Releasing Hormone Receptor","9"
"Purkinje Cells","Specific antibody","9"
"Cerebral cortex","Aquaporin 4","9"
"Structure of rubrospinal tract","Receptors, Metabotropic Glutamate","9"
"Pituitary Gland, Posterior","Arginine Vasopressin-Neurophysin II Preproprotein","9"
"Structure of rubrospinal tract","Protein Kinase C","9"
"Cerebellum","Nitroarginine","9"
