brainregion,disease,mentalprocess
Right frontal pole,Phobic anxiety disorder,
Inferior Colliculus,Autistic Disorder,
Nucleus of optic tract,Uterine Diseases,
Superior colliculus of corpora quadrigemina,Neurodegenerative Disorders,
Internal arcuate tract,Movement Disorders,
Right insula,cortex bone disorders,
"Hypothalamus, Middle",Spinal Cord Diseases,
Cerebrum,Hemiplegia-hemiconvulsion-epilepsy syndrome,
Structure of locus ceruleus,Griscelli syndrome type 2,
Corpus striatum structure,Hereditary Neurodegenerative Disorder,
Hindbrain,Disorder of pineal gland,
Rostrotemporal auditory area,Down Syndrome,
Insula of Reil,Degenerative disorder,
Cerebral Ventricles,Sensitization (disorder),
Structure of capsule of red nucleus,"Syndrome, Bloch-Sulzberger",
Basal Nucleus of Meynert,Fetal Alcohol Syndrome,
Basal Nucleus of Meynert,"Niemann-Pick Disease, Type C",
Cerebral hemisphere structure (body structure),Acute Disease,
Medulla Oblongata,Brain stem disorder,
Limbic lobe,"Creutzfeldt-Jakob Disease, Sporadic",
Structure of dentate gyrus,Autistic Disorder,
Brain Stem,Tolosa-Hunt Syndrome,
Limbic System,Mild cognitive disorder,
Nucleus Raphe Obscurus,Spinal Cord Diseases,
Prosencephalon,Cerebrovascular Disorders,
Structure of medial preoptic nucleus,Kallmann Syndrome,
Thalamic structure,Pervasive Development Disorder,
Structure of paraventricular nucleus of thalamus,Substance Use Disorders,
Vomeronasal System,Skin endocrine disorder,
Telencephalon,Ventricular dilatation (disorder),
Structure of medulla oblongata fasciculus cuneatus,Depressive disorder,
Nucleus Raphe Magnus,Irritable Bowel Syndrome,
Brain Stem,Smith-Lemli-Opitz Syndrome,
"Bundle, Predorsal",Gaucher Disease,
Structure of paraventricular nucleus,Disorder of pineal gland,
Superior colliculus of corpora quadrigemina,Basal Ganglia Diseases,
Structure of diencephalon,Dysequilibrium syndrome,
Auditory Hair Cell,Sensory Disorders,
Structure of anterior commissure,Neurodegenerative Disorders,
Lateral occipital gyrus,Language Disorders,
"Mossy Fibers, Hippocampal",Depressive disorder,
Central insular sulcus,"Stress Disorders, Traumatic",
Medial Dorsal Nucleus,neuropathology disease,
Amygdaloid structure,Familial Alzheimer Disease (FAD),
Somatosensory Cortex,"Hamartoma Syndrome, Multiple",
Motor Cortex,Psychotic Disorders,
Pyramidal Cells,Irritable Bowel Syndrome,
Substantia innominata,Adult Fanconi syndrome,
Cerebral aqueduct,Syndrome,
Brain Stem,Papillon-Lefevre Disease,
Thalamic structure,Sequela of disorder,
Medial nucleus of habenula,Recurrent disease,
Medulla Oblongata,Stiff-Person Syndrome,
Structure of angular gyrus,Feline urological syndrome,
Olfactory Nerve,Ehlers-Danlos Syndrome,
Dorsal Motor Nucleus,Cyclical vomiting syndrome (disorder),
Reuniens Thalamic Nucleus,Fetal Alcohol Syndrome,
Brain Stem,Neoplastic disease,
Interpeduncular nucleus,Disorder of pineal gland,
Structure of endopeduncular nucleus,Parkinson Disease,
Structure of anterior commissure,Leigh Disease,
Cerebral hemisphere structure (body structure),Eosinophilic disorder,
Lactotrophs,Liver diseases,
Temporal Lobe,Eosinophilic disorder,
Premotor cortex,"Hamartoma Syndrome, Multiple",
Cerebral cortex,Prostatic Diseases,
Hypothalamic structure,Ataxia as late effect of cerebrovascular disease,
CA1 field,Shy's disease,
Entire internal capsule of brain,Retinal Diseases,
Retro-olivary cell group,Sudden infant death syndrome,
"Entire Brodmann area 8, intermediate frontal",Alzheimer's Disease,
Temporal Lobe,Lafora Disease,
Area striata structure,"Disorders, Mental",
Striatum of left cerebral hemisphere,Obsessive-Compulsive Disorder,
Central gray substance of midbrain,Gilles de la Tourette syndrome,
Structure of medial globus pallidus,Meige Syndrome,
Parolfactory area structure (body structure),Parkinsonian Disorders,
Lentiform nucleus structure,Parkinson Disease,
Cerebral Peduncle,DISORDERS OF THE OPTIC NERVE,
Structure of capsule of red nucleus,Sweet Syndrome,
Hindbrain,Pervasive Development Disorder,
Septum Pellucidum,Hypertensive disease,
Structure of angular gyrus,Endocrine System Diseases,
Genus Hippocampus,Shwachman syndrome,
Cerebellum,Rabies (disorder),
Dentatothalamic tract,CNS disorder,
Extrapyramidal system,Parkinsonian Disorders,
Mammillary body structure,Memory Disorders,
Inferior occipital gyrus,cortex bone disorders,
Brain Stem,Ovarian Diseases,
Metencephalon,DISORDERS OF THE OPTIC NERVE,
Visual Cortex,Vision Disorders,
Parietal Lobe,Turner Syndrome,
Cerebrum,Functional disorder,
Cerebral hemisphere structure (body structure),Obsessive-Compulsive Disorder,
Structure of locus ceruleus,Bipolar I disorder,
Structure of capsule of red nucleus,Neurodevelopmental disorder,
Median eminence of hypothalamus,Van der Woude syndrome,
"Bundle, Predorsal",Bipolar Disorder,
Structure of superior longitudinal fasciculus,Mild cognitive disorder,
"Pituitary Gland, Anterior",Pancreatic Diseases,
Cerebral hemisphere structure (body structure),Minamata Disease,
Nucleus fastigii,Uterine Diseases,
Auditory Hair Cell,Depressive disorder,
Hypothalamic structure,Chronic disease,
Structure of transverse temporal gyrus,Psychotic Disorders,
lateral amygdalar nucleus,Parkinson Disease,
Corpus Callosum,Hypertensive disease,
Structure of middle temporal gyrus,Lewy Body Disease,
Hypothalamic structure,Disorder characterized by fever,
Parietal Lobe,Prune Belly Syndrome,
Amygdaloid structure,Sequela of disorder,
Thalamic structure,Alcohol use disorder,
Cerebral Ventricles,Diseases of inner ear,
Right frontal lobe structure,"Stress Disorders, Traumatic",
Cerebral cortex,Elimination Disorders,
Dentate nucleus,CNS disorder,
Precentral gyrus,Syndrome,
Cerebral cortex,Bone Diseases,
CA2 field,Timothy syndrome,
Cerebellum,Metabolic Diseases,
Structure of white matter of frontal lobe,Melkersson-Rosenthal Syndrome,
Structure of angular gyrus,Prune Belly Syndrome,
Perforant Pathway,Van der Woude syndrome,
Genus Hippocampus,Familial Alzheimer Disease (FAD),
Corpus striatum structure,Anxiety Disorders,
Marginal Sulcus,Neurotoxicity Syndromes,
Interpeduncular nucleus,Cognition Disorders,
Right angular gyrus,Chronic Fatigue Syndrome,
CA1 field,Spastic syndrome,
Structure of paraventricular nucleus of thalamus,Pick Disease of the Brain,
"Complex, Superior Olivary",Retinal Diseases,
Insula of Reil,Disease Progression,
Globus Pallidus,Hypopigmentation disorder,
Ventral Posterior Nucleus,Hypertensive disease,
Pontine nuclei,Cerebellar Diseases,
Motor Cortex,Brain Diseases,
left brain,Developmental Coordination Disorder,
Structure of nucleus prepositus,Sexually Transmitted Diseases,
Dorsal Nucleus Raphe,Metabolic Diseases,
Structure of forceps minor,Functional disorder,
Basal Ganglia,CNS disorder,
basolateral nucleus of the amygdala,Bipolar Disorder,
"Bundle, Predorsal",Dystonia Disorders,
Cuneiform nucleus,Functional disorder,
Dorsal Nucleus Raphe,Renal glomerular disease,
Pulvinar structure,Disease Progression,
Nucleus Accumbens,Stereotypic Movement Disorder,
Pontine structure,Syndrome,
Limbic lobe,Thyroid Diseases,
"Complex, Superior Olivary",Depressive disorder,
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe",Shy-Drager Syndrome,
Rostromedial auditory cortex,Liver diseases,
Subfascicular nucleus,Chronic disease,
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe",Neurotoxicity Syndromes,
Cerebral cortex,Guillain-Barre Syndrome,
Structure of rubrospinal tract,CNS disorder,
Neostriatum,Language Disorders,
"BRAIN, HIPPOCAMPUS",Learning Disorders,
Substantia Nigra Pars Reticulata,Dystonia Disorders,
Structure of nucleus prepositus,CNS disorder,
Occipital lobe,Demyelinating disease of central nervous system,
Parietal Lobe,Meningeal disorder,
Pituitary Gland,Brain Diseases,
Pars Compacta,Hashimoto Disease,
"Pituitary Gland, Posterior",Herpes zoster disease,
Metencephalon,"Disorders, Mental",
Lateral ventricle structure,Mixed anxiety and depressive disorder,
Left temporal lobe structure,Creutzfeldt-Jakob disease,
Thalamic structure,"Congenital secretory diarrhea, sodium type (disorder)",
Structure of supramammillary nucleus,neuropathology disease,
Lentiform nucleus structure,Sudden infant death syndrome,
Indusium griseum,Alzheimer's Disease,
Choroidal fissure,Generalized Anxiety Disorder,
Basal Nucleus of Meynert,Pervasive Development Disorder,
Cerebral Ventricles,Disorder of pineal gland,
Structure of subthalamic nucleus,Brain Diseases,
Cerebellum,Familial Alzheimer Disease (FAD),
Nucleus Basalis Magnocellularis,Depressive disorder,
Prosencephalon,Mild cognitive disorder,
Ventral nucleus of the lateral lemniscus,Herpes zoster disease,
Entire hippocampus,Post-Traumatic Stress Disorder,
Lateral occipitotemporal gyrus,Developmental Coordination Disorder,
central amygdalar nucleus,Mood Disorders,
"Cortex, Primary Motor",Mucocutaneous Lymph Node Syndrome,
Cerebrum,Menkes Kinky Hair Syndrome,
Paracentral Thalamic Nucleus,Nail-Patella Syndrome,
Medial Septal Nucleus,Renal glomerular disease,
Structure of thalamic reticular nucleus,"Syndrome, Bloch-Sulzberger",
Structure of dorsal cochlear nucleus,Functional disorder,
Rostrotemporal auditory area,Communicable Diseases,
Visual Cortex,Conjunctival Diseases,
Spinothalamic tract of medulla,Sensitization (disorder),
Neostriatum,Neurodevelopmental disorder,
Structure of Forel's H2 bundle,Functional disorder,
Structure of prerubral area,"Hamartoma Syndrome, Multiple",
Caudate nucleus structure,Renal glomerular disease,
mossy fiber,Li-Fraumeni Syndrome,
Motor Cortex,"Niemann-Pick Disease, Type C",
Dentate nucleus,Conduct Disorder,
Cingulate Cortex,Generalized Anxiety Disorder,
Structure of locus ceruleus,Cerebrovascular Disorders,
"Parahippocampal gyrus, anterior division (PHa)",Van der Woude syndrome,
Cerebral hemisphere structure (body structure),Norrie disease,
Olfactory Pathways,Severe Acute Respiratory Syndrome,
Hypoglossal nerve nucleus,cortex bone disorders,
Ventral Tegmental Area,Bipolar Disorder,
"Entire Brodmann area 22, superior temporal",Alzheimer's Disease,
Indusium griseum,Neurotoxicity Syndromes,
Claustral structure,Disease Progression,
Inferior Colliculus,Sensitization (disorder),
Entire lateral geniculate body,Creutzfeldt-Jakob disease,
Pyramidal Tracts,Deglutition Disorders,
Structure of inferior longitudinal fasciculus,Psychotic Disorders,
Frontal operculum,Spinal Cord Diseases,
Prefrontal Cortex,Hashimoto Disease,
Structure of hippocampal formation,Alzheimer's Disease,
Cerebellum,Camurati-Engelmann Syndrome,
Cerebrum,Williams Syndrome,
Structure of capsule of red nucleus,Parkinsonian Disorders,
"BRAIN, HIPPOCAMPUS","Parkinson Disease, Postencephalitic",
Brain Stem,Sequela of disorder,
lateral geniculate nucleus,Van der Woude syndrome,
Presubiculum,Syndrome,
Cerebral cortex,Rectal Diseases,
Left postcentral gyrus,cortex bone disorders,
lateral amygdalar nucleus,Herpes zoster disease,
CA3 field,Nicolaides Baraitser syndrome,
Substantia nigra structure,Christ-Siemens-Touraine syndrome,
Marginal Sulcus,Spinal Cord Diseases,
Brodmann area 45,cortex bone disorders,
Hypothalamic structure,Tay-Sachs Disease,
Corpus striatum structure,Disorder of olfactory system,
Diagonal Band of Broca,Mitral Valve Prolapse Syndrome,
Neostriatum,CNS disorder,
Hypothalamic structure,Coronary heart disease,
Dorsal Nucleus Raphe,Post-Traumatic Stress Disorder,
Nucleus of optic tract,Sweet Syndrome,
Structure of medial lemniscus in pons,Neurotoxicity Syndromes,
Structure of nucleus infundibularis hypothalami,Muckle-Wells Syndrome,
Hypothalamic nucleus,cortex bone disorders,
Structure of fasciolar gyrus,DISORDERS OF THE OPTIC NERVE,
Cerebellum,Borna Disease,
Brain Stem,Anterior Horn Cell Disease,
Somatosensory Cortex,Retinal Diseases,
Neocerebellum,Spinal Cord Diseases,
"Complex, Superior Olivary",Functional disorder,
Pyramidal Cells,Degenerative disorder,
Ventral Tegmental Area,Mild cognitive disorder,
Entire spiral ganglion,Auditory neuropathy spectrum disorder,
Left inferior frontal gyrus,Hypopigmentation disorder,
Brain Stem,Dysequilibrium syndrome,
Nucleus Basalis Magnocellularis,"Hypertrophic disorder of skin, unspecified",
Cerebral cortex,Kallmann Syndrome,
Cerebellum,Eosinophilic disorder,
Lateral ventricle structure,Behavioral syndrome associated with physiological disturbance and physical factors,
Auditory pathway structure,Demyelinating Diseases,
Structure of nucleus infundibularis hypothalami,Huntington Disease,
Brodmann area 18,Lung diseases,
Pineal gland,Nicolaides Baraitser syndrome,
"BRAIN, HIPPOCAMPUS",Disease due to Parvoviridae,
Primary Auditory Cortex,"Hamartoma Syndrome, Multiple",
Motor Cortex,Movement Disorders,
Inferior Colliculus,Ataxia as late effect of cerebrovascular disease,
Entire internal capsule of brain,Bipolar I disorder,
Nucleus of Ansa Lenticularis,Depressive disorder,
Structure of entorhinal cortex,Lewy Body Disease,
Dorsal paragigantocellular nucleus,Sturge-Weber Syndrome,
Right uncinate fasciculus,Antisocial Personality Disorder,
Corpus striatum structure,Extrapyramidal Disorders,
Longitudinal pontine fibers,Kallmann Syndrome,
Tectum Mesencephali,Renal glomerular disease,
Parahippocampal Gyrus,Stiff-Person Syndrome,
Structure of locus ceruleus,Eating Disorders,
Corpus striatum structure,Learning Disorders,
Entire lateral geniculate body,Parkinson Disease,
Neostriatum,Drug withdrawal syndrome,
Structure of piriform area,Syndrome,
Thalamic Nuclei,Stereotypic Movement Disorder,
Somatosensory Cortex,Vasodilation disorder,
Cerebral aqueduct,Meningeal disorder,
Optic Chiasms,Functional disorder,
Entire medulla oblongata,Deglutition Disorders,
intercalated amygdalar nuclei,Movement Disorders,
Corpus Callosum,Degenerative disorder,
"BRAIN, HIPPOCAMPUS",Sensorineural hearing loss (disorder),
Right precuneus,Pervasive Development Disorder,
Visual Cortex,Attention Deficit Disorder,
Structure of internal carotid nerve,Diseases of external ear,
Genus Hippocampus,"Parkinson Disease, Postencephalitic",
Pedunculopontine Tegmental Nucleus,Prader-Willi Syndrome,
"Lobe, Frontal",Virus Diseases,
Prefrontal Cortex,Androgen-Insensitivity Syndrome,
Cerebral hemisphere structure (body structure),Substance Withdrawal Syndrome,
"Bundle, Predorsal",Middle East Respiratory Syndrome,
Neostriatum,Uterine Diseases,
Cerebral hemisphere structure (body structure),Post-Concussion Syndrome,
Amygdaloid structure,Leigh Disease,
basolateral nucleus of the amygdala,Alzheimer's Disease,
Structure of anterior commissure,Shy-Drager Syndrome,
Nucleus solitarius,Metabolic Syndrome X,
Nucleus solitarius,Taste Disorders,
Amygdaloid structure,Renal glomerular disease,
Brain Stem,Immunologic Deficiency Syndromes,
Telencephalon,Sequela of disorder,
Structure of genu of corpus callosum,Alzheimer's Disease,
Prosencephalon,Allan-Herndon-Dudley syndrome,
"Cortex, Primary Motor","Motor Neuron Disease, Upper",
Linear nucleus,Laryngeal Diseases,
Temporal Lobe,Ventricular dilatation (disorder),
Internal capsule posterior limb structure,"Syndrome, Bloch-Sulzberger",
Internal capsule of brain,Chronic Fatigue Syndrome,
Brain Gray Matter,Chronic Obstructive Airway Disease,
Nucleus solitarius,Camurati-Engelmann Syndrome,
Pituitary Gland,Leigh Disease,
Entire internal capsule of brain,Fragile X Syndrome,
Entire lateral geniculate body,Spinal Cord Diseases,
Structure of dentate gyrus,Communicable Diseases,
Dentate nucleus,Neurotoxicity Syndromes,
Lateral Dorsal Nucleus,Nose Diseases,
Entire tuberomammillary nucleus,Lesch-Nyhan Syndrome,
Rostromedial auditory cortex,Spinal Cord Diseases,
Intralaminar Nuclear Group,Parkinson Disease,
Trigeminal Caudal Nucleus,Spinal Cord Diseases,
CA3 field,"Hypertrophic disorder of skin, unspecified",
Linear nucleus,Meningeal disorder,
mossy fiber,Major Depressive Disorder,
Cerebral cortex,Chromosome 11p11.2 Deletion Syndrome,
Left amygdala,Obsessive-Compulsive Disorder,
"Area, Septal",Sensitization (disorder),
Structure of thalamic reticular nucleus,Ataxia as late effect of cerebrovascular disease,
Structure of medial preoptic nucleus,Norrie disease,
Ventral Tegmental Area,Coffin-Siris syndrome,
Entire internal capsule of brain,Melkersson-Rosenthal Syndrome,
Cerebral hemisphere structure (body structure),Renal glomerular disease,
Structure of dentate gyrus,"Congenital secretory diarrhea, sodium type (disorder)",
Cerebellar cortex structure,Lung diseases,
Cerebral hemisphere structure (body structure),Hemiplegia-hemiconvulsion-epilepsy syndrome,
basolateral nucleus of the amygdala,Syndrome,
Precentral gyrus,Speech Disorders,
High Vocal Center,Developmental delay (disorder),
Limbic lobe,Depressive disorder,
Medial Dorsal Nucleus,Mitral Valve Prolapse Syndrome,
Premotor cortex,Paramyotonia congenita (disorder),
Central nucleus of inferior colliculus,cortex bone disorders,
auditory nuclei,cortex bone disorders,
Pyramidal Tracts,Parkinson Disease,
Temporal Lobe,Meningeal disorder,
Genus Hippocampus,Alcoholic Liver Diseases,
Lamina Terminalis,Cardiovascular Diseases,
Peripeduncular nucleus,Pituitary Diseases,
Central insular sulcus,Huntington Disease,
Pars nervosa of hypophysis,Liver diseases,
Ventral Striatum,Stereotypic Movement Disorder,
