"brainregion","disease","gene","count"
"Neostriatum","cortex bone disorders","BDNF Gene","2"
"Brain Stem","Disease Progression","SOD1 gene","2"
"Paracentral Thalamic Nucleus","Syndrome","PROC wt Allele","2"
"BRAIN, HIPPOCAMPUS","Van der Woude syndrome","MAPT wt Allele","2"
"Parietal Lobe","Spinal Cord Diseases","HOXA10 wt Allele","2"
"Globus Pallidus","Functional disorder","NR3C1 Gene","2"
"Structure of rubrospinal tract","Parkinsonian Disorders","PITX2 wt Allele","2"
"Anterodorsal nucleus of thalamus","Huntington Disease","ACTB Gene","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","GNAI1 wt Allele","2"
"Neostriatum","Functional disorder","TH gene","2"
"Structure of thalamic reticular nucleus","Prune Belly Syndrome","POMT1 gene","2"
"Triangular Septal Nucleus","Timothy syndrome","CAT Gene","2"
"Medial Septal Nucleus","Williams Syndrome","ELN wt Allele","2"
"Genus Hippocampus","Mild cognitive disorder","MAPT wt Allele","2"
"BRAIN, HIPPOCAMPUS","Melkersson-Rosenthal Syndrome","CD69 wt Allele","2"
"Cerebral cortex","Functional disorder","MAPK3 Gene","2"
"Cerebral cortex","Syndrome","Haploinsufficiency","2"
"Pituitary Gland","Pituitary Diseases","GC wt Allele","2"
"Structure of locus ceruleus","Disorders, Mental","ELANE Gene","2"
"Genus Hippocampus","cortex bone disorders","MAPK14 Gene","2"
"Substantia nigra structure","Parkinsonian Disorders","SLC6A3 Gene","2"
"Cortex, Primary Motor","cortex bone disorders","Chloramphenicol O-Acetyltransferase","2"
"Corpus striatum structure","Parkinsonian Disorders","MPZ gene","2"
"Structure of nucleus prepositus","Alzheimer's Disease","APP gene","2"
"Paracentral Thalamic Nucleus","cortex bone disorders","DPYD gene","2"
"Basal Forebrain","Alzheimer's Disease","NGFR Gene","2"
"Brain Stem","Spinal Cord Diseases","AKR1A1 wt Allele","2"
"Callosal sulcus","Disorder nervous system","BCAR1 wt Allele","2"
"Midbrain structure","cortex bone disorders","TH gene","2"
"Dorsal Septal Nucleus","Hashimoto Disease","DHPS wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","H2AFX Gene","2"
"Gigantocellular nucleus","Functional disorder","GNAI1 wt Allele","2"
"Genus Hippocampus","Neurotoxicity Syndromes","MAPK1 wt Allele","2"
"Structure of pars magnocellularis of dorsomedial nucleus of thalamus","Meleda Disease","CCL5 wt Allele","2"
"Medulla Oblongata","Dysequilibrium syndrome","DES Gene","2"
"Hypothalamic structure","Nijmegen Breakage Syndrome","NBN wt Allele","2"
"Superior colliculus of corpora quadrigemina","Timothy syndrome","TYMS Gene","2"
"Linear nucleus","Pituitary Diseases","CRH Gene","2"
"Triangular Septal Nucleus","Down Syndrome","RB1 wt Allele","2"
"Pituitary Gland","Pituitary Diseases","TNFRSF11A Gene","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","MOK Gene","2"
"Structure of capsule of red nucleus","Alzheimer's Disease","CR2 wt Allele","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","DMD gene","2"
"Corpus striatum structure","cortex bone disorders","POMT1 gene","2"
"Structure of anterior commissure","Acute Chest Syndrome","ASAH1 wt Allele","2"
"Substantia nigra structure","Communicable Diseases","SCG2 Gene","2"
"Lateral occipitotemporal gyrus","Williams Syndrome","AKR1C2 wt Allele","2"
"Genus Hippocampus","cortex bone disorders","SLC2A1 Gene","2"
"Structure of locus ceruleus","Parkinson Disease","ELANE wt Allele","2"
"Posterior cerebral commissure","Machado-Joseph Disease","PODXL Gene","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","TNF Gene","2"
"Nucleus fastigii","Fetal Alcohol Syndrome","DAXX Gene","2"
"Telencephalon","Peripheral Arterial Diseases","PADI4 wt Allele","2"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Retinal Diseases","SET Gene","2"
"Cerebellum","Mucocutaneous Lymph Node Syndrome","AR wt Allele","2"
"Pituitary Gland","Uterine Diseases","GNRH1 Gene","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","MAPK14 wt Allele","2"
"BRAIN, HIPPOCAMPUS","Melkersson-Rosenthal Syndrome","BCL2A1 wt Allele","2"
"Purkinje Cells","Syndrome, Bloch-Sulzberger","PRRT2 wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","CDK5R1 wt Allele","2"
"Cortex, Primary Motor","Spinal Cord Diseases","KL Gene","2"
"Nucleus of Diagonal Band","Werner Syndrome","LEPR wt Allele","2"
"BRAIN, HIPPOCAMPUS","Depressive disorder","NR3C1 Gene","2"
"Structure of nucleus infundibularis hypothalami","Functional disorder","POMC Gene","2"
"Cerebellum","cortex bone disorders","CDAN1 Gene","2"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","MAPK3 wt Allele","2"
"BRAIN, HIPPOCAMPUS","neuropathology disease","Genes","2"
"Amygdaloid structure","Spinal Cord Diseases","Alleles","2"
"Cerebral cortex","Alzheimer's Disease","CTSD Gene","2"
"Hypothalamic structure","Pituitary Diseases","GHRH Gene","2"
"Basal Forebrain","Functional disorder","CHAT Gene","2"
"Structure of nucleus prepositus","Lewy Body Disease","MAPT wt Allele","2"
"Lateral occipitotemporal gyrus","Williams Syndrome","ATP2A2 wt Allele","2"
"Structure of medial preoptic nucleus","Pituitary Diseases","PLOD1 gene","2"
"BRAIN, HIPPOCAMPUS","Functional disorder","CHAT Gene","2"
"Gonadotrophs","Pituitary Diseases","GNRH2 Gene","2"
"Posterior cerebral commissure","Ataxia as late effect of cerebrovascular disease","PODXL Gene","2"
"Tectum Mesencephali","Gilles de la Tourette syndrome","TYMS Gene","2"
"Corpus striatum structure","Pervasive Development Disorder","CNTNAP2 Gene","2"
"Pituitary Gland","Pituitary Diseases","IGF1 wt Allele","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","TFF1 Gene","2"
"BRAIN, HIPPOCAMPUS","CADASIL Syndrome","NOTCH3 gene","2"
"Hypothalamic Area, Lateral","Klinefelter Syndrome","PLOD1 gene","2"
"Cerebral cortex","cortex bone disorders","SPN Gene","2"
"Cerebral cortex","cortex bone disorders","LCP1 wt Allele","2"
"Hypothalamic Area, Lateral","Liver diseases","CD36 wt Allele","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","PRNP gene","2"
"BRAIN, HIPPOCAMPUS","Autism Spectrum Disorders","CREB1 Gene","2"
"Pituitary Gland","Pituitary Diseases","Estradiol Receptors","2"
"Hypothalamic Area, Lateral","Depressive disorder","HCRT Gene","2"
"BRAIN, HIPPOCAMPUS","Cerebrovascular Disorders","TARDBP wt Allele","2"
"Basal Forebrain","Rothmund-Thomson syndrome","CREBBP wt Allele","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","CREB1 Gene","2"
"BRAIN, HIPPOCAMPUS","Neurodegenerative Disorders","MAPK14 wt Allele","2"
"Inferior Colliculus","Lung diseases","REN Gene","2"
"BRAIN, HIPPOCAMPUS","Functional disorder","PSEN1 wt Allele","2"
"Structure of anterior commissure","Hamartoma Syndrome, Multiple","ASAH1 wt Allele","2"
"Metencephalon","Rett Syndrome","MET Gene","2"
"Medial Septal Nucleus","Williams Syndrome","MAP3K14 wt Allele","2"
"Corpus striatum structure","Huntington Disease","BECN1 Gene","2"
"Anterodorsal nucleus of thalamus","Mucocutaneous Lymph Node Syndrome","AR wt Allele","2"
"Genus Hippocampus","Melkersson-Rosenthal Syndrome","PSEN1 gene","2"
"Medial Septal Nucleus","Parkinsonian Disorders","ARX gene","2"
"Neostriatum","Neurotoxicity Syndromes","TNF Gene","2"
"Structure of rubrospinal tract","Neurodegenerative Disorders","CHGA Gene","2"
"Structure of rubrospinal tract","Norrie disease","MSMB wt Allele","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","CDK5R1 Gene","2"
"Thalamic structure","cortex bone disorders","CDKN2A wt Allele","2"
"Genus Hippocampus","cortex bone disorders","HP Gene","2"
"Structure of paraventricular nucleus of thalamus","Huntington Disease","KRT17 wt Allele","2"
"Cerebral cortex","cortex bone disorders","SLC7A5 wt Allele","2"
"Posterior cerebral commissure","Machado-Joseph Disease","KRT17 wt Allele","2"
"CA1 field","Alzheimer's Disease","PSEN1 wt Allele","2"
"Olivocerebellar fibers","Pili torti-deafness syndrome","BGLAP wt Allele","2"
"Structure of subthalamic nucleus","Parkinson Disease","GPER wt Allele","2"
"Genus Hippocampus","cortex bone disorders","NOS1 wt Allele","2"
"Cerebral cortex","cortex bone disorders","Wild Type","2"
"Cerebral cortex","Neurotoxicity Syndromes","EHMT1 Gene","2"
"Cerebellum","cortex bone disorders","PSEN1 wt Allele","2"
"Corpus striatum structure","cortex bone disorders","PINK1 gene","2"
"BRAIN, HIPPOCAMPUS","Disease Progression","PSEN1 gene","2"
"Structure of posterior hypothalamic nucleus","Functional disorder","Philadelphia Chromosome","2"
"BRAIN, HIPPOCAMPUS","Virus Diseases","DNMT3B Gene","2"
"Genus Hippocampus","cortex bone disorders","CD40LG Gene","2"
"BRAIN, HIPPOCAMPUS","Acute infectious disease","FOXD3 wt Allele","2"
"Structure of locus ceruleus","Spinal Cord Diseases","MAPT wt Allele","2"
"Neostriatum","Disorder nervous system","HTT gene","2"
"Structure of angular gyrus","Bloom Syndrome","ANG Gene","2"
"Cerebral cortex","Lafora Disease","EPM2A gene","2"
"Dentatothalamic tract","cortex bone disorders","DST Gene","2"
"Substantia nigra structure","Parkinson Disease","MPZ gene","2"
"Central Dorsal Nucleus","Neurotoxicity Syndromes","CTLA4 wt Allele","2"
"Posterior cerebral commissure","Machado-Joseph Disease","PODXL wt Allele","2"
"Bundle, Predorsal","Disease Progression","TLR4 Gene","2"
"Structure of locus ceruleus","cortex bone disorders","YY1 wt Allele","2"
"Marginal Sulcus","Williams Syndrome","MTR Gene","2"
"Thalamic structure","Hamartoma Syndrome, Multiple","TH gene","2"
"Cerebrum","Alzheimer's Disease","APP gene","2"
"Lateral ventricle structure","cortex bone disorders","DCX gene","2"
"Pituitary Gland","Pituitary Diseases","CXCL12 Gene","2"
"Genus Hippocampus","cortex bone disorders","APOE gene","2"
"Neostriatum","cortex bone disorders","PINK1 gene","2"
"Substantia nigra structure","Van der Woude syndrome","TH gene","2"
"Pyramidal Cells","cortex bone disorders","FLT3LG wt Allele","2"
"Dorsal Nucleus Raphe","Huntington Disease","HTT gene","2"
"Cerebral cortex","Huntington Disease","Wild Type","2"
"Corpus striatum structure","cortex bone disorders","Alleles","2"
"Structure of ansa lenticularis","Hamartoma Syndrome, Multiple","GYPA Gene","2"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","PADI4 Gene","2"
"Pituitary Gland","Pituitary Diseases","IFNAR1 Gene","2"
"Structure of dorsomedial hypothalamic nucleus","Hypertensive disease","LEP Gene","2"
"Insula of Reil","cortex bone disorders","TF gene","2"
"Medulla Oblongata","Nijmegen Breakage Syndrome","NBN wt Allele","2"
"BRAIN, HIPPOCAMPUS","Hashimoto Disease","Long Interspersed Element","2"
"BRAIN, HIPPOCAMPUS","Dysequilibrium syndrome","DES Gene","2"
"Structure of lateral olfactory gyrus","Meconium Aspiration Syndrome","MAS1 wt Allele","2"
"Pyramidal Cells","cortex bone disorders","PODXL wt Allele","2"
"Central Dorsal Nucleus","Peripheral Arterial Diseases","PADI4 wt Allele","2"
"Central insular sulcus","Sequela of disorder","CISH Gene","2"
"Marginal Sulcus","Disease Progression","Genetic Marker Expression","1"
"Neostriatum","Down Syndrome","Chloramphenicol Acetyl Transferase Gene","1"
"BRAIN, HIPPOCAMPUS","Lewy Body Disease","MAPT wt Allele","1"
"Structure of habenulopeduncular tract","Spinal Cord Diseases","Chloramphenicol O-Acetyltransferase","1"
"Genus Hippocampus","cortex bone disorders","TARP Gene","1"
"Structure of fissure of Sylvius","Leigh Disease","SCTR wt Allele","1"
"Corpus striatum structure","cortex bone disorders","CSPG4 wt Allele","1"
"Genus Hippocampus","Disorder nervous system","BDNF Gene","1"
"Area striata structure","Opitz-Frias syndrome","Chloramphenicol Acetyl Transferase Gene","1"
"Structure of central sulcus","Liver diseases","CR2 wt Allele","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","PYCARD Gene","1"
"Structure of anterior commissure","Hamartoma Syndrome, Multiple","PROC Gene","1"
"Pituitary Gland, Posterior","Van der Woude syndrome","IRF6 wt Allele","1"
"Prefrontal Cortex","Functional disorder","HTT wt Allele","1"
"Neostriatum","cortex bone disorders","ITGAM Gene","1"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","POMC wt Allele","1"
"Parietal Lobe","Hodgkin Disease","LIPC Gene","1"
"Prefrontal Cortex","Autism Spectrum Disorders","CDT1 Gene","1"
"Ependyma","Spinal Cord Diseases","GST Gene","1"
"Gonadotrophs","Ovarian Diseases","GNRH1 wt Allele","1"
"Cerebral cortex","Neurotoxicity Syndromes","FASTK Gene","1"
"BRAIN, HIPPOCAMPUS","neuropathology disease","SQSTM1 wt Allele","1"
"Structure of supraoptic nucleus","Pituitary Diseases","Genes","1"
"Pars Compacta","Renal glomerular disease","KLRB1 wt Allele","1"
"BRAIN, HIPPOCAMPUS","Prion Diseases","Genes","1"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","MOK Gene","1"
"Structure of suprachiasmatic nucleus","Gardner Syndrome","GNAI1 wt Allele","1"
"Pituitary Gland","Pituitary Diseases","NR5A1 wt Allele","1"
"Brain Stem","Spinal Cord Diseases","PHOX2B wt Allele","1"
"Thalamic structure","Spinal Cord Diseases","CAT Gene","1"
"Cerebral hemisphere structure (body structure)","Autism Spectrum Disorders","IGFBP2 wt Allele","1"
"Pedunculopontine Tegmental Nucleus","Virus Diseases","CHAT Gene","1"
"Caudate nucleus structure","Antisocial Personality Disorder","NOD2 wt Allele","1"
"Corpus Callosum","cortex bone disorders","GFAP gene","1"
"Pituitary Gland","Functional disorder","HCRT Gene","1"
"Cerebral hemisphere structure (body structure)","Functional disorder","Enhancer of transcription","1"
"Brain Stem","Spinal Cord Diseases","Exons","1"
"Hypothalamic structure","Pituitary Diseases","GNRHR Gene","1"
"Genus Hippocampus","Alzheimer's Disease","KDM1A wt Allele","1"
"Fifth ventricle","Syndrome","TARDBP wt Allele","1"
"Red nucleus structure","Spinal Cord Diseases","TF gene","1"
"Inferior Colliculus","Testicular Diseases","KISS1 Gene","1"
"Structure of thalamic reticular nucleus","Feline urological syndrome","RGNEF wt Allele","1"
"Neocortex","Spinal Cord Diseases","HOXB9 Gene","1"
"Entire substantia nigra","Prune Belly Syndrome","AMH wt Allele","1"
"Structure of putamen","cortex bone disorders","Retinoic Acid Response Element","1"
"CA3 field","Disease Progression","MAPT wt Allele","1"
"Cerebral cortex","Hashimoto Disease","PNP wt Allele","1"
"Nucleus of anterior commissure","Seasonal Affective Disorder","ASAH1 wt Allele","1"
"Hypothalamic structure","Drug effect disorder","AR gene","1"
"Lateral posterior nucleus of thalamus","Depressive disorder","Enhancer of transcription","1"
"Posterior cerebral commissure","Cerebellar Diseases","PODXL Gene","1"
"Prosencephalon","Hypertensive disease","AGT Gene","1"
"Gonadotrophs","Uterine Diseases","B4GALT1 Gene","1"
"Marginal Sulcus","Depressive disorder","NR3C1 wt Allele","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","CADM1 wt Allele","1"
"Indusium griseum","Lung diseases","FOXC2 wt Allele","1"
"Genus Hippocampus","Timothy syndrome","DYRK1A Gene","1"
"Occipital lobe","Pili torti-deafness syndrome","BGLAP wt Allele","1"
"Cerebellar cortex structure","Huntington Disease","PODXL Gene","1"
"Rostrotemporal auditory area","Huntington Disease","FKBP5 wt Allele","1"
"Lateral geniculate complex","DISORDERS OF THE OPTIC NERVE","NGFR Gene","1"
"Medial nucleus of habenula","Disorder of pineal gland","Genes","1"
"Midbrain structure","Autism Spectrum Disorders","RPL29 Gene","1"
"Neostriatum","Sensitization (disorder)","NDOR1 Gene","1"
"BRAIN, HIPPOCAMPUS","Hereditary Diseases","Genes","1"
"Caudate nucleus structure","Marfan Syndrome","CTLA4 wt Allele","1"
"Structure of rubrospinal tract","Williams Syndrome","Wild Type","1"
"Basal Forebrain","neuropathology disease","CUX1 wt Allele","1"
"Pituitary Gland","Lung diseases","FAT1 gene","1"
"CA2 field","cortex bone disorders","FAM49B wt Allele","1"
"Hypothalamic structure","Pituitary Diseases","NPY wt Allele","1"
"BRAIN, HIPPOCAMPUS","Fragile X Syndrome","CTAG1A wt Allele","1"
"Ventral Posterior Nucleus","Parkinson Disease","HP Gene","1"
"Genus Hippocampus","Sweet Syndrome","NGF Gene","1"
"Marginal Sulcus","Depressive disorder","AVP Gene","1"
"Anterodorsal nucleus of thalamus","Lewy Body Disease","APOE gene","1"
"CA1 field","Hamartoma Syndrome, Multiple","CDKN1A wt Allele","1"
"Nucleus solitarius","Hypertensive disease","TBL1XR1 Gene","1"
"Posterior cerebral commissure","Van der Woude syndrome","KRT17 wt Allele","1"
"Structure of thalamic reticular nucleus","Alzheimer's Disease","KHDRBS1 wt Allele","1"
"Cerebral cortex","Alzheimer's Disease","FAT wt Allele","1"
"Hindbrain","Pituitary Diseases","FLT3LG wt Allele","1"
"Medial Septal Nucleus","Sensorineural hearing loss (disorder)","MTR Gene","1"
"BRAIN, HIPPOCAMPUS","Fragile X Syndrome","POMC wt Allele","1"
"Supralemniscal nucleus","Spinal Cord Diseases","TPH1 wt Allele","1"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","CARD8 wt Allele","1"
"Linear nucleus","Spinal Cord Diseases","FGF2 Gene","1"
"CA2 field","Gilles de la Tourette syndrome","TYMS wt Allele","1"
"Habenula","Pituitary Diseases","RRM1 Gene","1"
"Cerebellum","Spinal Cord Diseases","S100A1 wt Allele","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","NAMPT gene","1"
"Thalamic structure","cortex bone disorders","PTH Gene","1"
"Prosencephalon","Retinal Diseases","SH3PXD2A wt Allele","1"
"Posterior cerebral commissure","Shy-Drager Syndrome","PODXL wt Allele","1"
"Pituitary Stalk","Retinal Diseases","CDKN2A wt Allele","1"
"Anterodorsal nucleus of thalamus","Neurodegenerative Disorders","LAMP1 Gene","1"
"Genus Hippocampus","cortex bone disorders","Genes, Mitochondrial","1"
"Corpus striatum structure","Liver diseases","Chloramphenicol Acetyl Transferase Gene","1"
"Structure of thalamic fasciculus","Van der Woude syndrome","CLIC4 wt Allele","1"
"Neocortex","cortex bone disorders","ATL1 gene","1"
"Thalamic structure","cortex bone disorders","CCR1 Gene","1"
"Structure of Forel's H2 bundle","Liver diseases","Chloramphenicol Acetyl Transferase Gene","1"
"Anterodorsal nucleus of thalamus","Meckel syndrome type 1","MAPT wt Allele","1"
"Structure of tectobulbar tract","McCune-Albright Syndrome","MAS1 Gene","1"
"Anterodorsal nucleus of thalamus","Stress Disorders, Traumatic","MAPT wt Allele","1"
"Tectopontine fibers","Motor Neuron Disease","TMPO wt Allele","1"
"Cerebral cortex","22q11 Deletion Syndrome","TXNRD2 Gene","1"
"Bundle, Predorsal","Neurotoxicity Syndromes","MPZ gene","1"
"Medulla Oblongata","Timothy syndrome","TYMP Gene","1"
"Nucleus fastigii","Fetal Alcohol Syndrome","CRP Gene","1"
"Pyramidal Cells","Van der Woude syndrome","CDK5R1 Gene","1"
"Cortex, Primary Motor","Rabies (disorder)","Genes","1"
"Cerebral hemisphere structure (body structure)","Schizotypal Personality Disorder","Genes","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Plasmids","1"
"CA1 field","Williams Syndrome","ELN wt Allele","1"
"Genus Hippocampus","cortex bone disorders","DES Gene","1"
"Structure of thalamic reticular nucleus","Stress Disorders, Traumatic","Wild Type","1"
"Cerebral cortex","Disorder nervous system","CTSD Gene","1"
"BRAIN, HIPPOCAMPUS","Hamartoma Syndrome, Multiple","PROC wt Allele","1"
"Thalamic structure","Myeloproliferative Syndrome, Transient","TTN wt Allele","1"
"Vestibular ganglion","Diseases of inner ear","NGF Gene","1"
"Red nucleus structure","Spastic syndrome","ZMYM2 wt Allele","1"
"Entire internal capsule of brain","Huntington Disease","HTT wt Allele","1"
"Structure of locus ceruleus","Recurrent disease","ELANE wt Allele","1"
"Medulla Oblongata","Spinal Cord Diseases","FOXD3 wt Allele","1"
