"brainregion","disease","mental","count"
"Brain Stem","Spinal Cord Diseases","Chronic pain","2"
"Genus Hippocampus","Spinal Cord Diseases","Communication Response","2"
"Lateral Septal Nucleus","Leigh Disease","Feedback - evaluative response process","2"
"central amygdalar nucleus","Recurrent disease","Withdrawal","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Generalizations (Psychology)","2"
"External capsule","cortex bone disorders","Hemorrhage","2"
"Neocortex","Functional disorder","Cognition","2"
"BRAIN, HIPPOCAMPUS","Mild cognitive disorder","Initiative","2"
"Corpus striatum structure","Depressive disorder","Communication Response","2"
"lateral geniculate nucleus","Retinal Diseases","Feeding Activity","2"
"Corpus striatum structure","Tic disorder","Hyperactive behavior","2"
"BRAIN, HIPPOCAMPUS","Depressive disorder","smell perception","2"
"Cerebellum","Functional disorder","Psychological inhibition","2"
"Parafascicular Thalamic Nucleus","Parkinson Disease","Projection Defense Mechanism","2"
"Thalamic structure","Retinal Diseases","Vision","2"
"BRAIN, HIPPOCAMPUS","Fetal Alcohol Syndrome","Learning","2"
"Posterior superior ansiform lobule of cerebellum","Psychotic Disorders","At risk for impaired skin integrity","2"
"Neostriatum","Parkinsonian Disorders","Like","2"
"Amygdaloid structure","cortex bone disorders","Ethanol","2"
"Temporal Lobe","cortex bone disorders","Vision","2"
"Pyramidal Cells","Neurotoxicity Syndromes","Ethanol","2"
"Nuclei, Raphe","Functional disorder","DEPRESSION MENTAL","2"
"Central gray substance of midbrain","Leigh Disease","Sex Behavior","2"
"Hypothalamic structure","Liver diseases","Behavior","2"
"Medulla Oblongata","Hypertensive disease","Stress","2"
"Intralaminar Nuclear Group","Recurrent disease","Methamphetamine","2"
"Temporal Lobe","cortex bone disorders","Mental association","2"
"Pretectal region","Disorder of pineal gland","Like","2"
"Basal Ganglia","cortex bone disorders","Autistic Disorder","2"
"Pontine structure","Stress Disorders, Traumatic","Stress","2"
"Central gray substance of midbrain","Depressive disorder","Social Role","2"
"Hypothalamic Area, Lateral","cortex bone disorders","Social Role","2"
"Midbrain structure","Attention Deficit Disorder","Addictive Behavior","2"
"Hypothalamic structure","Liver diseases","Social Role","2"
"Genus Hippocampus","Memory Disorders","Social Role","2"
"Prosencephalon","Alzheimer's Disease","Cognition","2"
"Neostriatum","Neurotoxicity Syndromes","Like","2"
"Genus Hippocampus","Disease Progression","Social Role","2"
"Corpus striatum structure","cortex bone disorders","Feedback - system communication","2"
"Hypothalamic structure","cortex bone disorders","Emotions","2"
"Inferior olivary nucleus","Depressive disorder","Communication Response","2"
"Basal Ganglia","cortex bone disorders","Memory","2"
"Genus Hippocampus","Post-Traumatic Stress Disorder","Like","2"
"Neostriatum","cortex bone disorders","smell perception","2"
"Paracentral sulcus","Autistic Disorder","Sex Behavior","2"
"Structure of medial preoptic nucleus","Alzheimer's Disease","Communication Response","2"
"Genus Hippocampus","Depressive disorder","Involvement with","2"
"Purkinje Cells","cortex bone disorders","Projection Defense Mechanism","2"
"Prefrontal Cortex","cortex bone disorders","Emotions","2"
"Prosencephalon","Alzheimer's Disease","Amnesia","2"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","Learning","2"
"Substantia innominata","cortex bone disorders","Behavior","2"
"Cerebellum","Ataxia as late effect of cerebrovascular disease","Comprehension","2"
"Motor Cortex","cortex bone disorders","Ethanol","2"
"Genus Hippocampus","Alcohol withdrawal syndrome","Ethanol","2"
"Metencephalon","Autistic Disorder","Autistic Disorder","2"
"Genus Hippocampus","Depressive disorder","Memory, Short-Term","2"
"Cerebellum","Ataxia as late effect of cerebrovascular disease","Impaired cognition","2"
"BRAIN, HIPPOCAMPUS","Bipolar Disorder","Social Role","2"
"Set of basolateral nuclei of amygdala","Functional disorder","Abnormal behavior","2"
"Hypothalamic structure","Polycystic Ovary Syndrome","Social Role","2"
"Basal Ganglia","Parkinson Disease","Powers (Psychology)","2"
"BRAIN, HIPPOCAMPUS","Autism Spectrum Disorders","Social Role","2"
"Lateral geniculate complex","cortex bone disorders","Vision","2"
"Cerebral cortex","Parkinson Disease","Tremor","2"
"Genus Hippocampus","Anxiety Disorders","Social Role","2"
"Internal arcuate tract","Spinal Cord Diseases","Conditionings (Psychology)","2"
"Nuclei, Raphe","Depressive disorder","Behavior","2"
"Entire thalamic reticular nucleus","Mood Disorders","Attention","2"
"Structure of locus ceruleus","Neurodegenerative Disorders","Social Role","2"
"Nuclei, Raphe","Depressive disorder","Like","2"
"BRAIN, HIPPOCAMPUS","Seasonal Affective Disorder","Seasonal Affective Disorder","2"
"Cerebral cortex","Functional disorder","Feedback - system communication","2"
"Pyramidal Cells","Attention deficit hyperactivity disorder","Attention","2"
"Nucleus Accumbens","cortex bone disorders","Stress","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Learning","2"
"Purkinje Cells","Functional disorder","Involvement with","2"
"Cerebral cortex","Functional disorder","Tracking","2"
"Prefrontal Cortex","Recurrent disease","Social Role","2"
"BRAIN, HIPPOCAMPUS","Shprintzen syndrome","Impaired cognition","2"
"Motor Cortex","Spinal Cord Diseases","Physical activity","2"
"Sensorimotor Cortex","Phantom limb syndrome","Phantom limb syndrome","2"
"Superior colliculus of corpora quadrigemina","Gilles de la Tourette syndrome","Gilles de la Tourette syndrome","2"
"Substantia innominata","cortex bone disorders","Communication Response","2"
"Basal Nucleus of Meynert","Alzheimer's Disease","Impaired cognition","2"
"Prefrontal Cortex","Brain Diseases","Emotions","2"
"Midbrain structure","Parkinson Disease","Hyperactive behavior","2"
"Midbrain structure","Depressive disorder","Play","2"
"Thalamic structure","Functional disorder","Seizures","2"
"Auditory area","Lung Diseases, Interstitial","Auditory area","2"
"Cortex, Primary Motor","Rett Syndrome","Psychological inhibition","2"
"Structure of olfactory bulb","cortex bone disorders","Experience","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","smell perception","2"
"Brain Stem","Autistic Disorder","Behavior","2"
"Corpus striatum structure","Obsessive-Compulsive Disorder","Social Role","2"
"Triangular Septal Nucleus","Timothy syndrome","Coping Behavior","2"
"Structure of entorhinal cortex","Alzheimer's Disease","Amnesia","2"
"Structure of dentate gyrus","Disorder nervous system","Memory","2"
"CA1 field","cortex bone disorders","Involvement with","2"
"Bundle, Predorsal","Shy-Drager Syndrome","Like","2"
"BRAIN, HIPPOCAMPUS","Timothy syndrome","Social Role","2"
"BRAIN, HIPPOCAMPUS","Functional disorder","Memory Disorders","2"
"Medial Septal Nucleus","Clinically isolated syndrome","Fatigue","2"
"Basal Nucleus of Meynert","Chronic myeloproliferative disorder","Behavior","2"
"Cerebral cortex","Disease Progression","Learning","2"
"Inferior Colliculus","Spinal Cord Diseases","Auditory area","2"
"Pyramidal Cells","Functional disorder","Anxiety","2"
"Bundle, Predorsal","Disease Progression","Play","2"
"BRAIN, HIPPOCAMPUS","Neurodegenerative Disorders","Sex Behavior","2"
"Auditory area","cortex bone disorders","Auditory pitch","2"
"Nucleus Accumbens","cortex bone disorders","Psychological inhibition","2"
"Triangular Septal Nucleus","Down Syndrome","Like","2"
"Bundle, Predorsal","Depressive disorder","Cognition","2"
"BRAIN, HIPPOCAMPUS","Neurodevelopmental disorder","Social Role","2"
"Hypothalamic structure","Disorders, Mental","Stress","2"
"sensory cortex","Depressive disorder","DEPRESSION MENTAL","2"
"Barrington's Nucleus","Spinal Cord Diseases","Stress","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Automobile Driving","2"
"Parietal operculum cortex (PO)","Psychotic Disorders","At risk for violence","2"
"Neostriatum","cortex bone disorders","Memory","2"
"Auditory area","Diseases of inner ear","Auditory area","2"
"Substantia nigra structure","Parkinsonian Disorders","Behavioral Symptoms","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Mediation","2"
"CA1 field","Conjunctival Diseases","Object Recognition","2"
"Neostriatum","Depressive disorder","Communication Response","2"
"Genus Hippocampus","Functional disorder","Attention","2"
"Structure of nucleus infundibularis hypothalami","Pica Disease","Pica Disease","2"
"Amygdaloid structure","Post-Traumatic Stress Disorder","Emotions","2"
"Corpus striatum structure","Parkinson Disease","Discussion","2"
"Set of basolateral nuclei of amygdala","Recurrent disease","Memory","2"
"Anterior insula","Autistic Disorder","Autistic Disorder","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Fear","2"
"Substantia nigra structure","Stereotypic Movement Disorder","Stereotyped Behavior","2"
"Cerebral cortex","Hodgkin Disease","Communication Response","2"
"Inferior Colliculus","cortex bone disorders","Psychological inhibition","2"
"Cerebellum","Autism Spectrum Disorders","Learning","2"
"Basal Ganglia","cortex bone disorders","Mental concentration","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Hypokinesia","2"
"Prefrontal Cortex","Bipolar Disorder","Abnormal behavior","2"
"Structure of olfactory bulb","Parkinson Disease","Involvement with","2"
"Hypothalamic Area, Lateral","Spinal Cord Diseases","Communication Response","2"
"Brain Stem","Parkinson Disease","Availability of","2"
"Genus Hippocampus","Spinal Cord Diseases","Mental concentration","2"
"Structure of superior temporal sulcus","cortex bone disorders","Projection Defense Mechanism","2"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","Response to stimulus physiology","2"
"Cerebral cortex","cortex bone disorders","Emotions","2"
"Purkinje Cells","Disorder nervous system","Social Role","2"
"Cerebral cortex","Pervasive Development Disorder","Impaired cognition","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Discrimination","2"
"Structure of locus ceruleus","Sensitization (disorder)","Behavior","2"
"Structure of nucleus infundibularis hypothalami","Pituitary Diseases","Projection Defense Mechanism","2"
"Pituitary Gland","Functional disorder","DEPRESSION MENTAL","2"
"CA1 field","Neurotoxicity Syndromes","Communication Response","2"
"Superior colliculus of corpora quadrigemina","Retinal Diseases","Behavior","2"
"Cerebral cortex","Pervasive Development Disorder","Stress","2"
"Hypothalamic structure","cortex bone disorders","Psychological inhibition","2"
"Anterodorsal nucleus of thalamus","Neurotoxicity Syndromes","Stress","2"
"CA1 field","cortex bone disorders","conditioned taste aversion","2"
"Thalamic structure","cortex bone disorders","Sex Behavior","2"
"Temporal Lobe","Parkinson Disease","Involvement with","2"
"Corpus striatum structure","Parkinson Disease","Abnormal behavior","2"
"Cerebral hemisphere structure (body structure)","Functional disorder","Involvement with","2"
"Neostriatum","Functional disorder","Psychological inhibition","2"
"Mammillary body structure","Major Depressive Disorder","DEPRESSION MENTAL","2"
"Corpus striatum structure","Sensitization (disorder)","Cocaine","2"
"BRAIN, HIPPOCAMPUS","Neurodegenerative Disorders","Interested","2"
"Cerebral cortex","Migraine Disorders","Communication Response","2"
"Substantia nigra structure","Spinal Cord Diseases","Like","2"
"Substantia nigra structure","Herpes zoster disease","Ejection as a Sports activity","2"
"Cerebral cortex","Cat-Scratch Disease","Nociception","2"
"BRAIN, HIPPOCAMPUS","Van der Woude syndrome","Communication Response","2"
"Lateral Dorsal Nucleus","Van der Woude syndrome","Projection Defense Mechanism","2"
"Globus Pallidus","Parkinson Disease","Tremor","2"
"BRAIN, HIPPOCAMPUS","Pervasive Development Disorder","Social Role","2"
"Medial Dorsal Nucleus","Menkes Kinky Hair Syndrome","psychological orientation","2"
"CA2 field","Hamartoma Syndrome, Multiple","Communication Response","2"
"Corpus striatum structure","Neurotoxicity Syndromes","Mental concentration","2"
"Structure of lateral olfactory gyrus","Mesulam Syndrome","Mental association","2"
"BRAIN, HIPPOCAMPUS","Brain Diseases","Insight","2"
"Pyramidal Cells","Attention deficit hyperactivity disorder","Behavior","2"
"Nucleus, Anterior Olfactory","Parkinson Disease","smell perception","2"
"Structure of nucleus ambiguus","Esophageal Diseases","Projection Defense Mechanism","2"
"Cerebral cortex","Down Syndrome","Social Role","2"
"Amygdaloid structure","Functional disorder","Anxiety","2"
"Lateral Septal Nucleus","Leigh Disease","Feedback - system communication","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Pain","2"
"Corpus striatum structure","Parkinson Disease","DEPRESSION MENTAL","2"
"Brain Stem","Migraine Disorders","Pain","2"
"Neostriatum","Disorders, Mental","Drug Dependence","2"
"Structure of dentate gyrus","Functional disorder","DEPRESSION MENTAL","2"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Sleep","2"
"Orbitofrontal cortex","Spinal Cord Diseases","Social Role","2"
"Prosencephalon","Skin endocrine disorder","Communication Response","2"
"Structure of dentate gyrus","Functional disorder","Social Role","2"
"Median eminence of hypothalamus","Pituitary Diseases","Psychological inhibition","2"
"Structure of rubrospinal tract","Depressive disorder","Anxiety","2"
"Orbitofrontal cortex","Depressive disorder","Like","2"
"Cerebellum","Migraine Disorders","Pain","2"
"Ventral Tegmental Area","Parkinson Disease","DEPRESSION MENTAL","2"
"Thalamic structure","cortex bone disorders","Interested","2"
"Preoptic Areas","Spinal Cord Diseases","Communication Response","2"
"Nucleus solitarius","Pica Disease","Pica Disease","2"
"Fornix, Brain","Disease Progression","Cognition","2"
"Brain Stem","Parkinson Disease","Coitus","1"
"Linear nucleus","Laryngeal Diseases","Like","1"
"Brain Stem","Depressive disorder","Habituation, Psychophysiologic","1"
"Right parahippocampal gyrus","Mild cognitive disorder","Memory impairment","1"
"Corpus striatum structure","cortex bone disorders","Play","1"
"Motor Cortex","cortex bone disorders","Comprehension","1"
"Pituitary Gland","Major Depressive Disorder","biological adaptation to stress","1"
"Thalamic structure","Allan-Herndon-Dudley syndrome","Motor retardation","1"
"Midbrain structure","Attention Deficit Disorder","Cognition","1"
"Basal Forebrain","neuropathology disease","Involvement with","1"
"Entire medulla oblongata","Gilles de la Tourette syndrome","Gilles de la Tourette syndrome","1"
"Internal arcuate tract","cortex bone disorders","Projection Defense Mechanism","1"
"Structure of rubrospinal tract","Drug withdrawal syndrome","Stress","1"
"Cerebellum","Functional disorder","Social Cognition","1"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","Communication","1"
"Basal Ganglia","Lens Diseases","Communication Response","1"
"Structure of dentate gyrus","Prune Belly Syndrome","Impaired cognition","1"
"Cerebral cortex","Central pain syndrome","Perception","1"
"Neostriatum","Degenerative disorder","Comprehension","1"
"Hypothalamic structure","Mucocutaneous Lymph Node Syndrome","Social Role","1"
"Amygdaloid structure","Nail-Patella Syndrome","Fear","1"
"Bundle, Predorsal","Disease Progression","Sets (Psychology)","1"
"Gyrus Cinguli","Fragile X Syndrome","Tremor","1"
"Olfactory gyrus","cortex bone disorders","Social Role","1"
"Right inferior frontal gyrus","Depressive disorder","DEPRESSION MENTAL","1"
"Genus Hippocampus","Prune Belly Syndrome","Impaired cognition","1"
"Substantia nigra structure","Parkinson Disease","Everyday tasks","1"
"Hypothalamic structure","Mixed anxiety and depressive disorder","Behavior","1"
