"protein","disease","count"
"Myelin","Chronic Fatigue Syndrome","3"
"Prions","Huntington Disease","3"
"Nuclear Proteins","Rett Syndrome","3"
"Amyloid","Degenerative brain disorder","3"
"Platelet-Derived Growth Factor","Functional disorder","3"
"Vasoactive Intestinal Peptide","Renal glomerular disease","3"
"fasudil","Van der Woude syndrome","3"
"AMP-Activated Protein Kinases","Depressive disorder","3"
"Cysteine","Functional disorder","3"
"Physostigmine","cortex bone disorders","3"
"Nitric Oxide Synthase","Neurodegenerative Disorders","3"
"Fibroins","Gardner Syndrome","3"
"Receptor","Disease of thymus gland","3"
"Dopamine D1 Receptor","Parathyroid Diseases","3"
"GPER protein, human","Depressive disorder","3"
"Gonadorelin","Bloom Syndrome","3"
"Polypeptides","Neurodegenerative Disorders","3"
"Enzymes","Fragile X Syndrome","3"
"NR1 protein, human","Neurotoxicity Syndromes","3"
"Dopa","Herpes zoster disease","3"
"AMPH protein, human","Sensitization (disorder)","3"
"Hexokinase","Pigment dispersion syndrome (disorder)","3"
"STIM1 protein, human","Neurodegenerative Disorders","3"
"Glutamate + glutamine","Functional disorder","3"
"Gonadorelin","Syndrome, Bloch-Sulzberger","3"
"Proteins","Renal glomerular disease","3"
"Receptors, Opioid, mu","Stereotypic Movement Disorder","3"
"Ion Channel","Autism Spectrum Disorders","3"
"Creatine Kinase, BB Form","Spinal Cord Diseases","3"
"Amyloid Proteins","Liver diseases","3"
"Glycosaminoglycans","Functional disorder","3"
"Synucleins","Syndrome","3"
"Arginine Vasopressin-Neurophysin II Preproprotein","Shy-Drager Syndrome","3"
"Glycoprotein Hormones, alpha Subunit","Spinal Cord Diseases","3"
"Receptors, Opioid, delta","Migraine Disorders","3"
"Vasoactive Intestinal Peptide","Migraine Disorders","3"
"ID2 protein, human","cortex bone disorders","3"
"Amyloid Proteins","Parkinsonian Disorders","3"
"tuberous sclerosis complex 1 protein","Autism Spectrum Disorders","3"
"Thyrotropin-Releasing Hormone","Dyskinetic syndrome","3"
"Interferon Type II","Depressive disorder","3"
"Nerve Growth Factors","Disorders, Mental","3"
"STAT5A protein, human","cortex bone disorders","3"
"HCRT Gene","Syndrome, Bloch-Sulzberger","3"
"Calreticulin","Functional disorder","3"
"Myelin","Clinically isolated syndrome","3"
"LTF protein, human","Neurodegenerative Disorders","3"
"Platelet-Derived Growth Factor Receptor","cortex bone disorders","3"
"HD protein, human","Shy-Drager Syndrome","3"
"Neuropeptides","Meningeal disorder","3"
"Antibodies","Syndrome, Bloch-Sulzberger","3"
"Dihydropyrimidinase","Liver diseases","3"
"Ligase","Autistic Disorder","3"
"granulin","Alzheimer's Disease","3"
"nociceptin","Depressive disorder","3"
"Glucose","Retinal Diseases","3"
"pleiotrophin","Disorders, Mental","3"
"Caspase Inhibitors","Neurotoxicity Syndromes","3"
"Artemin, human","Neurotoxicity Syndromes","3"
"Pigment","Spinal Cord Diseases","3"
"Myelin basic protein","Disorder nervous system","3"
"Interferons","Major Depressive Disorder","3"
"Calcium Channel","Pervasive Development Disorder","3"
"Genes","Demyelinating Diseases","3"
"Phosphorylases","Neurotoxicity Syndromes","3"
"NADH Dehydrogenase (Ubiquinone)","Bipolar Disorder","3"
"Amyloid","Spinal Cord Diseases","3"
"Osteopontin","Diseases of inner ear","3"
"Choline O-Acetyltransferase","Renal glomerular disease","3"
"angiogenin","Liver diseases","3"
"Peptides","Polycystic Ovary Syndrome","3"
"Receptor, Cannabinoid","Alzheimer's Disease","3"
"Cancer/Testis Antigen","Syndrome","3"
"Tenascin","cortex bone disorders","3"
"Dehydrogenase, Dihydrolipoamide","Spinal Cord Diseases","3"
"Chemokine","Syndrome, Bloch-Sulzberger","3"
"Complement System Proteins","Degenerative disorder","3"
"Oxytocin","Disease Progression","3"
"Endorphins","Irritable Bowel Syndrome","3"
"PTPRC protein, human","Alzheimer's Disease","3"
"Receptors, Metabotropic Glutamate","Spinal Cord Diseases","3"
"Argipressin","Pervasive Development Disorder","3"
"Prions","Brain Diseases","3"
"Neuronal Calcium-Sensor Proteins","Bipolar Disorder","3"
"Peptides","Huntington Disease","3"
"Tumor Necrosis Factors","Pancreatic Diseases","3"
"Arginine Vasopressin-Neurophysin II Preproprotein","Spinal Cord Diseases","3"
"HCRT wt Allele","Functional disorder","3"
"Glial Fibrillary Acidic Protein","Pervasive Development Disorder","3"
"Brain-Derived Neurotrophic Factor","Pituitary Diseases","3"
"Cofilin 1","cortex bone disorders","3"
"NFIA protein, human","Functional disorder","3"
"Cyclic AMP-Dependent Protein Kinases","Cat-Scratch Disease","3"
"Growth Factor","Obsessive-Compulsive Disorder","3"
"Gonadorelin","Spinal Cord Diseases","3"
"NFIB protein, human","Functional disorder","3"
"MAPK14 protein, human","Retinal Diseases","3"
"Methionine","Neurotoxicity Syndromes","3"
"Ribonucleases","Alzheimer's Disease","3"
"Immunoglobulins, Intravenous","Guillain-Barre Syndrome","3"
"DNA-Binding Proteins","Rett Syndrome","3"
"HTR2A protein, human","Hypertensive disease","3"
"trichostatin A","cortex bone disorders","3"
"Mullerian duct inhibiting substance","Alzheimer's Disease","3"
"Nitric Oxide Synthase Type II","Neurotoxicity Syndromes","3"
"Vimentin","Retinal Diseases","3"
"Lactoferrin","Pick Disease of the Brain","3"
"CDK5 protein, human","cortex bone disorders","3"
"Glucose","McCune-Albright Syndrome","3"
"myelination","Retinal Diseases","3"
"cilostazol","Neurotoxicity Syndromes","3"
"Synapsins","cortex bone disorders","3"
"Bombesin","Dysequilibrium syndrome","3"
"Botulinum Toxin Type A","Dystonia Disorders","3"
"Proteins","Post-Traumatic Stress Disorder","3"
"Homocysteine","Migraine Disorders","3"
"Angiotensin-2","Functional disorder","3"
"tuberous sclerosis complex 1 protein","Autistic Disorder","3"
"Opioid Receptor","cortex bone disorders","3"
"Protein Subunits","Stress Disorders, Traumatic","3"
"DNA, Complementary","Communicable Diseases","3"
"Receptor","Uterine Diseases","3"
"Estrogen Receptors","Disorder nervous system","3"
"Substance P","Bloom Syndrome","3"
"Peroxidase stain","cortex bone disorders","3"
"Mitochondrial Proteins","Functional disorder","3"
"Brain-Derived Neurotrophic Factor","Dysequilibrium syndrome","3"
"Amyloid Proteins","Hereditary Diseases","3"
"HMGB1 Protein","Disorder nervous system","3"
"Sodium Channel","Hereditary Diseases","3"
"Apolipoprotein E3","Neurotoxicity Syndromes","3"
"CDK-Activating Kinase Assembly Factor MAT1","Disorder nervous system","3"
"Transcription Repressor/Corepressor","Neurodevelopmental disorder","3"
"HMGB1 Protein","Inflammatory disorder","3"
"fibroblast growth factor 23","Chronic Kidney Diseases","3"
"Transporter, Serotonin","Functional disorder","3"
"Oxytocin Receptor","Depressive disorder","3"
"Protein-Serine-Threonine Kinases","Disorder nervous system","3"
"Glial Cell Line-Derived Neurotrophic Factor","Disease Progression","3"
"Amyloid beta-Protein Precursor","Parkinson Disease","3"
"Gonadorelin","DISORDERS OF THE OPTIC NERVE","3"
"Delta-Like Protein 1, human","Hamartoma Syndrome, Multiple","3"
"orexins","Skin endocrine disorder","3"
"Nicotinic Receptors","Depressive disorder","3"
"Mitochondrial Proteins","Lung diseases","3"
"Proteolytic Enzyme","Degenerative disorder","3"
"Fatty-acid synthase","Liver diseases","3"
"Protein Phosphatase 2A","Functional disorder","3"
"PIK3CG protein, human","Pervasive Development Disorder","3"
"Proteome","Disease Progression","3"
"Neurokinin B","Pituitary Diseases","3"
"Protein Subunits","Gardner Syndrome","3"
"INSR protein, human","Neurotoxicity Syndromes","3"
"Cloning Vectors","Chagas Disease","3"
"Nerve Growth Factors","Attention deficit hyperactivity disorder","3"
"Collagen Type IV","cortex bone disorders","3"
"Brain-Derived Neurotrophic Factor","Degenerative disorder","3"
"Microtubule-Associated Proteins","Diseases of inner ear","3"
"Oxidoreductase","Liver diseases","3"
"Receptor, Leptin","Alzheimer's Disease","3"
"IRS2 protein, human","Liver diseases","3"
"Calpain","Depressive disorder","3"
"Neurotrophic Factor","Rett Syndrome","3"
"Histidine","Spinal Cord Diseases","3"
"Biotin","Alzheimer's Disease","3"
"Peptide Hormone","Pancreatic Diseases","3"
"Central myelin","Syndrome","3"
"PODXL protein, human","Syndrome, Bloch-Sulzberger","3"
"APS protein, human","Mesulam Syndrome","3"
"Stathmin","Spinal Cord Diseases","3"
"nucleolin protein, human","Functional disorder","3"
"Folic Acid","Disease Progression","3"
"Vascular Endothelial Growth Factors","Syndrome","3"
"STAT3 Protein","Janiceps (disorder)","3"
"Platelet Activating Factor","Lewy Body Disease","3"
"Chloramphenicol O-Acetyltransferase","Vasodilation disorder","3"
"Mitogen Activated Protein Kinase p38","Alzheimer's Disease","3"
"Taurine","Liver diseases","3"
"Protein Kinases","Mucocutaneous Lymph Node Syndrome","3"
"Proteins","Familial Atypical Mole Melanoma Syndrome","3"
"protein TDP-43","Cerebrovascular Disorders","3"
"Mullerian duct inhibiting substance","Testicular Diseases","3"
"Topoisomerase","Pervasive Development Disorder","3"
"STAT3 Protein","Neurodegenerative Disorders","3"
"Plasminogen Activator","Spinal Cord Diseases","3"
"Interferons","Norrie disease","3"
"Apolipoprotein E4","Alzheimer Disease, Late Onset","3"
"Receptors, Toll Like","Shy-Drager Syndrome","3"
"NFIB protein, human","Neurotoxicity Syndromes","3"
"Peroxidase, Glutathione","Neurotoxicity Syndromes","3"
"Interleukin-1 alpha","Van der Woude syndrome","3"
"Interleukins","Colonic Diseases","3"
"Deacetylase","Disorder nervous system","3"
"Apolipoprotein E3","cortex bone disorders","3"
"Tyrosine 3-Monooxygenase","Van der Woude syndrome","3"
"Integrins","Alzheimer's Disease","3"
"Peptides","Recurrent disease","3"
"Acetylcholinesterase","neuropathology disease","3"
"Complement Membrane Attack Complex","Opitz-Frias syndrome","3"
"NADP","Pancreatic Diseases","3"
"Lysosomal-Associated Membrane Protein 1","Alzheimer's Disease","3"
"Cytochromes c","Neurotoxicity Syndromes","3"
"Neurotrophic Factor","Pituitary Diseases","3"
"Dopamine and cAMP-Regulated Phosphoprotein 32","Parkinson Disease","3"
"Motor protein","Disorder nervous system","3"
"ras Proto-Oncogene Protein p21","Alzheimer's Disease","3"
"Peroxisome Proliferator-Activated Receptors","Disease Progression","3"
"Nerve Growth Factors","Migraine Disorders","3"
"Dopamine D2 Receptor","Liver diseases","3"
"Cystine","Neurotoxicity Syndromes","3"
"Phospholipase C","Brain Diseases","3"
"INSR protein, human","Functional disorder","3"
"Mitochondrial Proteins","Mitochondrial Diseases","3"
"Peptides","Nijmegen Breakage Syndrome","3"
"Horseradish Peroxidase","Timothy syndrome","3"
"Calcium Channel","Lambert-Eaton Myasthenic Syndrome","3"
"Brain-Derived Neurotrophic Factor","Sleep Apnea Syndromes","3"
"PLAT protein, human","Functional disorder","3"
"Cytokine","Opsoclonus-Myoclonus Syndrome","3"
"Dopamine Receptor","Alzheimer's Disease","3"
"Calreticulin","Parkinson Disease","3"
"CADM1 protein, human","Neurodevelopmental disorder","3"
"Aminoglutethimide","Gardner Syndrome","3"
"Myelin","Post-Traumatic Stress Disorder","3"
"DNA","Ataxia as late effect of cerebrovascular disease","3"
"Proto-Oncogene Proteins c-fos","Depressive disorder","3"
"Acyltransferase","Alzheimer's Disease","3"
"Cadherins","Autism Spectrum Disorders","3"
"TLR4 protein, human","Sensitization (disorder)","3"
"Choline O-Acetyltransferase","Lewy Body Disease","3"
"Oxidase","Functional disorder","3"
"Fibronectins","cortex bone disorders","3"
"Ghrelin","Sensitization (disorder)","3"
"Amyloid beta-Protein Precursor","Prune Belly Syndrome","3"
"Calcium","Sweet Syndrome","3"
"Leptin","Thyroid Diseases","3"
"Interferon Alpha, Human","Psychotic Disorders","3"
"Receptors, Nerve Growth Factor","Retinal Diseases","3"
"Dopamine D2 Receptor","Retinal Diseases","3"
"Apolipoproteins","neuropathology disease","3"
"Amyloid","Norrie disease","3"
"Proteins","Cerebellar Diseases","3"
"Glutamine","Parkinson Disease","3"
"Phosphoinositide-3-Kinase, Catalytic, Beta Polypeptide","Neurodegenerative Disorders","3"
"Biotin","Pituitary Diseases","3"
"Enzymes","Myeloproliferative Syndrome, Transient","3"
"Hyaluronidase","cortex bone disorders","3"
"Regulatory Protein","Neurotoxicity Syndromes","3"
"Congenital secretory diarrhea, sodium type (disorder)","Disorder nervous system","3"
"Protein-Lysine 6-Oxidase","cortex bone disorders","3"
"Actins","Disorder nervous system","3"
"Proto-Oncogene Proteins c-fos","Hypertensive disease","3"
"GABA Receptor","Li-Fraumeni Syndrome","3"
"HP protein, human","Mild cognitive disorder","3"
"Dickkopf-Related Protein 1","Nail-Patella Syndrome","3"
"IRF6 wt Allele","Liver diseases","3"
"Myelin","Recurrent disease","3"
"Microtubule-Associated Proteins","Depressive disorder","3"
"Metastin","Ovarian Diseases","3"
"Methionine","Retinal Diseases","3"
"Glycogen Synthase Kinase 3","Brain Diseases","3"
"Fibrinogen","cortex bone disorders","3"
"Thyroglobulin","Disease Progression","3"
"Glycine","Hamartoma Syndrome, Multiple","3"
"Aspirin","Neurotoxicity Syndromes","3"
"Glucose","Syndrome","3"
"Glutathione","Liver diseases","3"
"Pigment","Opitz-Frias syndrome","3"
"Serpin E2","Alzheimer's Disease","3"
"Receptor","Lysosomal Storage Diseases","3"
"Amyloid beta-Protein Precursor","Cognition Disorders","3"
"Myelin","Obsessive-Compulsive Disorder","3"
"Transient Receptor Potential Cation Channel Subfamily M Member 7","Parkinson Disease","3"
"recoverin protein","Retinal Diseases","3"
"Receptor","Shared Paranoid Disorder","3"
"Glutamine","Liver diseases","3"
"Low Density Lipoprotein Receptor","Functional disorder","3"
"Matrix Metalloproteinase 9","Neurodevelopmental disorder","3"
"tropomyosin-related kinase-B, human","Chimera (disorder)","3"
"Metallothionein","cortex bone disorders","3"
"Receptor","Pendred's syndrome","3"
"donepezil","Nail-Patella Syndrome","3"
"Catenins","Brain Diseases","3"
"Neurogranin","Renal glomerular disease","3"
"cytidylyl-3'-5'-guanosine","Rett Syndrome","3"
"Receptors, Toll Like","CNS disorder","3"
"Tyrosine 3-Monooxygenase","Disorder nervous system","3"
"Phosphoproteins","cortex bone disorders","3"
"H2AX protein, human","cortex bone disorders","3"
"Islet Amyloid Polypeptide","Functional disorder","3"
"Monoamine Oxidase Inhibitors","Depressive disorder","3"
"Cytoskeletal Proteins","cortex bone disorders","3"
"Prostaglandin-Endoperoxide Synthase","Alzheimer's Disease","3"
"Chlordecone reductase","Alzheimer's Disease","3"
"Nitric Oxide Synthase","Skin endocrine disorder","3"
"Y, Neuropeptide","Skin endocrine disorder","3"
"Mineralocorticoid Receptor","Functional disorder","3"
"Kinesin","Neurodegenerative Disorders","3"
"Ribosomal Protein S6 Kinase Beta-1","Disease Progression","3"
"pleiotrophin","cortex bone disorders","3"
"Cancer/Testis Antigen","Shy-Drager Syndrome","3"
"sphingosine-1-phosphate lyase","Alzheimer's Disease","3"
"Immunoglobulins","Huntington Disease","3"
"Peptidyl-Prolyl Cis-Trans Isomerase FKBP5","Huntington Disease","3"
"Extracellular Signal Regulated Kinases","Niemann-Pick Disease, Type C","3"
"Ion Channel","cortex bone disorders","3"
"ATP-Binding Cassette Transporters","Disease Progression","3"
"Interleukin-1","Major Depressive Disorder","3"
"Insulin-Like Growth Factor II","Neurodegenerative Disorders","3"
"Extracellular Signal Regulated Kinases","Functional disorder","3"
"HCRT protein, human","Panic Disorder","3"
"Kinesin","Alzheimer's Disease","3"
"Tumor Necrosis Factor-alpha","Communicable Diseases","3"
"Brain-Derived Neurotrophic Factor","Irritable Bowel Syndrome","3"
"activin A","cortex bone disorders","3"
"Tyrosine 3-Monooxygenase","Skin endocrine disorder","3"
"Complex, Multicatalytic Endopeptidase","Spinal Cord Diseases","3"
"Glucose","Meconium Aspiration Syndrome","3"
"Major Prion Protein","Lewy Body Disease","3"
"Phosphorylases","Syndrome, Bloch-Sulzberger","3"
"Connexin 43","Oculo-dento-digital syndrome","3"
"Gamma-Enolase","Hamartoma Syndrome, Multiple","3"
"Sodium Channel","Disorder nervous system","3"
"PODXL protein, human","Spinal Cord Diseases","3"
"Cyclin D1","cortex bone disorders","3"
"Complement System Proteins","Pervasive Development Disorder","3"
"HDAC Inhibitor SHP-141","DISORDERS OF THE OPTIC NERVE","3"
"Alteplase","Neurodegenerative Disorders","3"
"HD protein, human","Fragile X Syndrome","3"
"Cytokine","Demyelinating Diseases","3"
"Theophylline","cortex bone disorders","3"
"Nitric Oxide Synthase","Pancreatic Diseases","3"
"Glucagon-Like Peptide 1","Functional disorder","3"
"Tumor Necrosis Factor-alpha","Skin endocrine disorder","3"
"MSC protein, human","Parkinsonian Disorders","3"
"1-Phosphatidylinositol 3-Kinase","Pervasive Development Disorder","3"
"Abnormal protein","Lewy Body Disease","3"
"Proteins","Congenital secretory diarrhea, sodium type (disorder)","2"
"Proteins","Fetal Alcohol Spectrum Disorders","2"
"Aggrecans","Hamartoma Syndrome, Multiple","2"
"Neurotrophic Factor","Niemann-Pick Disease, Type C","2"
"Carrier Proteins","Autism Spectrum Disorders","2"
"Mitogen-Activated Protein Kinase 3","cortex bone disorders","2"
"Indirect reacting bilirubin","Syndrome","2"
"Genes","Marfan Syndrome","2"
"Small Nuclear Ribonucleoprotein Polypeptide F","Functional disorder","2"
"Genes","22q11 Deletion Syndrome","2"
"DNA Polymerase Epsilon Catalytic Subunit A","Hashimoto Disease","2"
"Histidine Decarboxylase","Liver diseases","2"
"Chromatin","Fragile X Syndrome","2"
"Ubiquitin Carboxyl-Terminal Hydrolase CYLD","Syndrome","2"
"neurofilament protein H","Spinal Cord Diseases","2"
"Forkhead Box Protein P1","Neurodevelopmental disorder","2"
"Insulin-Like Growth Factor II","Psychotic Disorders","2"
"D-Serine","Van der Woude syndrome","2"
"Myelin Proteins","cortex bone disorders","2"
"Argipressin","Disorders, Mental","2"
"G-Protein-Coupled Receptors","Metabolic Diseases","2"
"Calcium","Skin endocrine disorder","2"
"Cyclic AMP-Responsive DNA-Binding Protein","Van der Woude syndrome","2"
"Somatomedins","Neurodegenerative Disorders","2"
"Opioid Peptide","Diseases of inner ear","2"
"Histidine Decarboxylase","Werner Syndrome","2"
"Proteins","Leigh Disease","2"
"Gastrin releasing peptide","Pancreatic Diseases","2"
