"brainregion","disease","protein","count"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Retinoblastoma Protein","1"
"Prefrontal Cortex","Shy-Drager Syndrome","VEGF protein, human","1"
"Right temporal lobe structure","Pick Disease of the Brain","Complex, Multicatalytic Endopeptidase","1"
"Structure of rhomboidal nucleus of thalamus","Pituitary Diseases","Pyridostigmine","1"
"Hypothalamic structure","Spinal Cord Diseases","Heat-Shock Proteins 70","1"
"Neostriatum","Virus Diseases","Tumor Necrosis Factors","1"
"Prefrontal Cortex","Alzheimer's Disease","Dactinomycin","1"
"Brain Stem","Skin endocrine disorder","Arginine Vasopressin-Neurophysin II Preproprotein","1"
"Caudate nucleus structure","Pick Disease of the Brain","Succinate Dehydrogenase","1"
"Brodmann area 9","Major Depressive Disorder","Glutamate Decarboxylase","1"
"Nucleus solitarius","Laryngeal Diseases","Receptor","1"
"BRAIN, HIPPOCAMPUS","Disease Progression","Bone Morphogenetic Protein 3","1"
"Structure of anterior commissure","Parkinson Disease","Arginine Vasopressin-Neurophysin II Preproprotein","1"
"Motor Cortex","cortex bone disorders","Chlortetracycline","1"
"Nucleus Accumbens","Spinal Cord Diseases","Receptors, Opioid, mu","1"
"Structure of tectobulbar tract","Virus Diseases","Apolipoprotein E4","1"
"Superior colliculus of corpora quadrigemina","DISORDERS OF THE OPTIC NERVE","Lysine","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Apolipoprotein E3","1"
"Rostrotemporal auditory area","Post-Traumatic Stress Disorder","Protein Subunits","1"
"Caudate nucleus structure","Prune Belly Syndrome","Tyrosine 3-Monooxygenase","1"
"Cerebral cortex","Neurotoxicity Syndromes","Roflumilast","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","alpha-Crystallin B Chain","1"
"Prefrontal Cortex","Retinal Diseases","Tyrosine","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Wheat Germ Agglutinins","1"
"Dorsal Nucleus Raphe","Attention deficit hyperactivity disorder","Receptor","1"
"BRAIN, HIPPOCAMPUS","Noonan Syndrome","PTPN11 protein, human","1"
"Superior colliculus of corpora quadrigemina","cortex bone disorders","Nitric Oxide Synthase","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Major Prion Protein","1"
"Cerebral hemisphere structure (body structure)","Fetal Alcohol Syndrome","DAXX protein, human","1"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","Caffeine","1"
"Genus Hippocampus","Syndrome","Leucine","1"
"Genus Hippocampus","cortex bone disorders","Adenylate Cyclase","1"
"BRAIN, HIPPOCAMPUS","Fragile X Syndrome","Phosphotransferases","1"
"BRAIN, HIPPOCAMPUS","Christ-Siemens-Touraine syndrome","Protein S100-B, human","1"
"Structure of rubrospinal tract","Liver diseases","Serotonin","1"
"Cerebral cortex","Neurotoxicity Syndromes","Phosphodiesterase 5 inhibitor","1"
"Fornix, Brain","Disease Progression","HCRT Gene","1"
"Rostrotemporal auditory area","Parkinson Disease","Phosphotransferases","1"
"Corpus striatum structure","cortex bone disorders","Hydroxymethylglutaryl-CoA reductase","1"
"Genus Hippocampus","Alzheimer's Disease","HMGN1 Protein","1"
"Cerebral cortex","Meningeal disorder","Colony-Stimulating Factors","1"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","NOTCH1 protein, human","1"
"Cerebral cortex","cortex bone disorders","Neurotrophin 3","1"
"Brain Stem","Spinal Diseases","Substance P","1"
"BRAIN, HIPPOCAMPUS","Feline urological syndrome","Green Fluorescent Proteins","1"
"Cerebral Ventricles","X-linked hydrocephalus syndrome","Genes","1"
"Visual Cortex","cortex bone disorders","GABA-B Receptor","1"
"Purkinje Cells","Ataxia as late effect of cerebrovascular disease","Factor, Transcription","1"
"Cerebellum","Spinal Cord Diseases","Galactosylceramidase","1"
"Cerebellum","Ataxia as late effect of cerebrovascular disease","UBC protein, human","1"
"Basal Ganglia","Parkinson Disease","Calcineurin","1"
"CA3 field","Alzheimer's Disease","Selenoprotein P, human","1"
"Gonadotrophs","Pituitary Diseases","Steroidogenic Factor 1","1"
"Basal Ganglia","cortex bone disorders","Histamine Receptor","1"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Paired Basic Amino Acid Cleaving Enzyme","1"
"Hypothalamic structure","Pituitary Diseases","TM4SF1 protein, human","1"
"Cerebral cortex","Congenital secretory diarrhea, sodium type (disorder)","Naproxen","1"
"Genus Hippocampus","Fragile X Tremor Ataxia Syndrome","Amyloid Proteins","1"
"Anteroventral Thalamic Nucleus","Alzheimer's Disease","SUMO-1 Protein","1"
"BRAIN, HIPPOCAMPUS","Metabolic Syndrome X","Proteins","1"
"Structure of locus ceruleus","Alzheimer's Disease","Cytosolic Phospholipase A2","1"
"Pituitary cell","Thyroid Diseases","Cholecystokinin","1"
"Corpus striatum structure","Huntington Disease","Complex, Multicatalytic Endopeptidase","1"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Histone H2b","1"
"Structure of angular gyrus","Timothy syndrome","Aminoglutethimide","1"
"Entire medial geniculate body","cortex bone disorders","SILV protein, human","1"
"Cerebral cortex","Williams Syndrome","Neurofilament Proteins","1"
"Neostriatum","cortex bone disorders","Peroxidase","1"
"Orbitofrontal cortex","cortex bone disorders","Lysine","1"
"Cerebral hemisphere structure (body structure)","Neurotoxicity Syndromes","2-Amino-5-phosphonovalerate","1"
"Structure of thalamic reticular nucleus","Gardner Syndrome","Glutamate-Ammonia Ligase","1"
"Substantia nigra structure","Herpes zoster disease","Cyclic AMP-Dependent Protein Kinases","1"
"Pituitary Gland","Ovarian Diseases","Estrogen Receptors","1"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","DNA","1"
"BRAIN, HIPPOCAMPUS","Niemann-Pick Disease, Type C","Cytokine","1"
"Posterior Nucleus of Thalamus","Hamartoma Syndrome, Multiple","Parathyroid Hormone","1"
"Brain Stem","Virus Diseases","Protein Subunits","1"
"Cerebral Peduncle","Spinal Cord Diseases","Calcium","1"
"Hypothalamic Area, Lateral","Skin endocrine disorder","Corticotropin","1"
"Medial Septal Nucleus","Van der Woude syndrome","PPAR gamma","1"
"basolateral nucleus of the amygdala","Cerebrovascular Disorders","Synaptophysin","1"
"BRAIN, HIPPOCAMPUS","Cognition Disorders","beta, Lymphotoxin","1"
"Thalamic Nuclei","cortex bone disorders","Calbindin 1","1"
"Genus Hippocampus","Marfan Syndrome","Glial Fibrillary Acidic Protein","1"
"Structure of angular gyrus","Depressive disorder","orexins","1"
"Entire lateral geniculate body","cortex bone disorders","Nerve Growth Factor","1"
"Hypothalamic structure","Meningeal disorder","Platelet-Derived Growth Factor Receptor Beta, Human","1"
"Anterodorsal nucleus of thalamus","Post-Traumatic Stress Disorder","Peptidyl-Prolyl Cis-Trans Isomerase FKBP5","1"
"Structure of lateral olfactory gyrus","cortex bone disorders","Cholecystokinin","1"
"Thalamic structure","Spinal Cord Diseases","Factor, Transcription","1"
"Corpus striatum structure","cortex bone disorders","moesin","1"
"Longitudinal pontine fibers","Alzheimer's Disease","DNA","1"
"Tegmentum Mesencephali","DISORDERS OF THE OPTIC NERVE","Horseradish Peroxidase","1"
"Corpus striatum structure","Liver diseases","Catechol O-Methyltransferase","1"
"Nucleus of Ansa Lenticularis","Alzheimer's Disease","Lysosomal-Associated Membrane Protein 2","1"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Interleukin-13","1"
"Entire subcommissural organ","Pituitary Diseases","Receptor","1"
"Genus Hippocampus","Retinal Diseases","SILV protein, human","1"
"BRAIN, HIPPOCAMPUS","Spinal Cord Diseases","NADP","1"
"Amygdaloid structure","cortex bone disorders","Interleukin-1","1"
"Cerebral hemisphere structure (body structure)","Alzheimer's Disease","Enzymes","1"
"Occipital lobe","Alzheimer's Disease","VEGF protein, human","1"
"Corpus striatum structure","cortex bone disorders","Glucose","1"
"Anterodorsal nucleus of thalamus","Parkinson Disease","Amyloid beta-Protein Precursor","1"
"CA1 field","cortex bone disorders","Cathepsin D","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","NF-E2-Related Factor 2","1"
"Genus Hippocampus","Rasmussen Syndrome","CD8 Antigen, Beta Polypeptide 1","1"
"Structure of central sulcus","Liver diseases","Aminoglutethimide","1"
"Neostriatum","Parkinson Disease","FUBP1 protein, human","1"
"Central insular sulcus","Stress Disorders, Traumatic","Actin, Cytoplasmic 1","1"
"Brain Stem","Pituitary Diseases","Y, Neuropeptide","1"
"Midbrain structure","Pituitary Diseases","Green Fluorescent Proteins","1"
"Anteroventral Thalamic Nucleus","Alzheimer's Disease","Actin, Cytoplasmic 1","1"
"Thalamic structure","Spinal Cord Diseases","gonadotropin combinations","1"
"Anterodorsal nucleus of thalamus","Lysosomal Storage Diseases","Cathepsin B","1"
"Genus Hippocampus","Immune System Diseases","Serotonin","1"
"Right temporal lobe structure","Pick Disease of the Brain","Ubiquitin","1"
"Anterodorsal nucleus of thalamus","Neurodegenerative Disorders","Calcium","1"
"Pituitary Gland","Alzheimer's Disease","Calcitonin","1"
"Prefrontal Cortex","Neurotoxicity Syndromes","Serotonin","1"
"Cerebellum","Neurotoxicity Syndromes","Fluorescent Dyes","1"
"Corpus striatum structure","Deglutition Disorders","SF3B1 wt Allele","1"
"Structure of angular gyrus","Parkinson Disease","Fluorescein","1"
"Neostriatum","Parkinsonian Disorders","MSC protein, human","1"
"Structure of entorhinal cortex","Alzheimer's Disease","Peptides","1"
"Anterodorsal nucleus of thalamus","Parkinson Disease","Serum Albumin, Bovine","1"
"Pituitary Gland","Functional disorder","KISS1 protein, human","1"
"Parietal Lobe","neuropathology disease","ATP Binding Cassette Transporter 1","1"
"Cerebral Peduncle","Syndrome, Bloch-Sulzberger","Horseradish Peroxidase","1"
"Type 2 vestibular sensory cell","Functional disorder","Tumor Necrosis Factor-alpha","1"
"Nucleus solitarius","Vasodilation disorder","Receptors, Purinergic P1","1"
"Structure of nucleus prepositus","Conversion disorder","Major Prion Protein","1"
"Cerebral cortex","cortex bone disorders","Interleukin-2","1"
"Cerebellum","cortex bone disorders","HSP90 Heat-Shock Proteins","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Prolow-Density Lipoprotein Receptor-Related Protein 1","1"
"Dorsal Motor Nucleus","Parkinson Disease","alpha-Synuclein","1"
"Medulla Oblongata","cortex bone disorders","Renin","1"
"Structure of prerubral area","Hamartoma Syndrome, Multiple","Tyrosine","1"
"Cerebral hemisphere structure (body structure)","Williams Syndrome","Methylene blue","1"
"Prefrontal Cortex","Hereditary Diseases","ST13 protein, human","1"
"Temporal Lobe","Alzheimer's Disease","Neurofilament Proteins","1"
"Cerebellum","Spinal Cord Diseases","Oligodendrocyte-Myelin Glycoprotein","1"
"Brain Stem","Spinal Cord Diseases","2 Ala 4 MePhe 5 Gly Enkephalin","1"
"Structure of fissure of Sylvius","Leigh Disease","Glutamate-Cysteine Ligase","1"
"Neostriatum","cortex bone disorders","Mitochondrial Proteins","1"
"Cerebral cortex","Vasodilation disorder","N-Methylaspartate","1"
"Prosencephalon","Functional disorder","Endothelin","1"
"Lobe, Frontal","cortex bone disorders","HD protein, human","1"
"Dorsal Septal Nucleus","Shprintzen syndrome","Parvalbumins","1"
"Cerebral cortex","Neurodegenerative Disorders","Oxidoreductase","1"
"Structure of entorhinal cortex","Alzheimer's Disease","sphingosine kinase-1","1"
"Pituitary Gland","Pituitary Diseases","glutaminyl-peptide cyclotransferase","1"
"Bundle, Predorsal","Lewy Body Disease","Butyrylcholinesterase","1"
"Rostrotemporal auditory area","Stress Disorders, Traumatic","Proteins","1"
"Somatosensory Cortex","Spinal Cord Diseases","aldehyde dehydrogenases","1"
"Genus Hippocampus","Skin endocrine disorder","Somatropin","1"
"Corpus striatum structure","Spinal Cord Diseases","Dopamine and cAMP-Regulated Phosphoprotein 32","1"
"Structure of paraventricular nucleus of thalamus","Thyroid Diseases","Thyrotropin-Releasing Hormone","1"
"Lateral habenular nucleus","Pituitary Diseases","Pro-Opiomelanocortin","1"
"Structure of locus ceruleus","Spinal Cord Diseases","Agglutinins","1"
"Structure of locus ceruleus","Nail-Patella Syndrome","Proteins","1"
"Basal Nucleus of Meynert","Spinal Cord Diseases","Antibodies","1"
"Central Dorsal Nucleus","Neurotoxicity Syndromes","Peptides","1"
"Corpus striatum structure","Neurotoxicity Syndromes","BECN1 protein, human","1"
"BRAIN, HIPPOCAMPUS","neuropathology disease","Calcium","1"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","tropomyosin-related kinase-B, human","1"
"Median eminence of hypothalamus","Pituitary Diseases","Enkephalins","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Protein Family","1"
"Brain Stem","Functional disorder","Neuregulin 1","1"
"Paracentral sulcus","Functional disorder","Nucleoplasmins","1"
"Cerebral cortex","Autistic Disorder","Brain-Derived Neurotrophic Factor","1"
"Amygdaloid structure","cortex bone disorders","Immune Sera","1"
"Basal Nucleus of Meynert","Parkinson Disease","Galanin","1"
"Cerebellum","Down Syndrome","Calcium-Binding Proteins","1"
"Midbrain structure","Brain Diseases","Tyrosine 3-Monooxygenase","1"
"Amygdaloid Nucleus, Cortical","Spinal Cord Diseases","Coenzyme A","1"
"Posterior periventricular nucleus of hypothalamus","Alzheimer's Disease","Cyclic AMP-Responsive DNA-Binding Protein","1"
"Neostriatum","cortex bone disorders","Interleukin-10","1"
"Cerebellum","neuropathology disease","Ubiquitin","1"
"Median preoptic nucleus","Spinal Cord Diseases","Poly ADP Ribose Polymerase","1"
"BRAIN, HIPPOCAMPUS","Functional disorder","Growth Hormone","1"
"Neostriatum","Stereotypic Movement Disorder","Muscarinic Acetylcholine Receptor","1"
"Primary Auditory Cortex","Carpal Tunnel Syndrome","Cancer/Testis Antigen","1"
"BRAIN, HIPPOCAMPUS","Functional disorder","Mitogen-Activated Protein Kinases","1"
"Genus Hippocampus","cortex bone disorders","Synaptotagmins","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Ribosomal Protein S6 Kinase Beta-1","1"
"Sensorimotor Cortex","Spinal Cord Diseases","Membrane Transport Proteins","1"
"Amygdaloid structure","Major Depressive Disorder","Brain-Derived Neurotrophic Factor","1"
"Cerebellum","Renal glomerular disease","ras GTPase-Activating Proteins","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","potassium oxonate","1"
"Motor Cortex","Cat-Scratch Disease","Congenital secretory diarrhea, sodium type (disorder)","1"
"Cerebellum","Greig cephalopolysyndactyly syndrome","Matrix Metalloproteinase 2","1"
"Pyramidal Cells","cortex bone disorders","PRF1 protein, human","1"
"Basal Forebrain","Cognition Disorders","Choline O-Acetyltransferase","1"
"External capsule","cortex bone disorders","myelination","1"
"Medulla Oblongata","cortex bone disorders","Gamma-Enolase","1"
"Cerebral hemisphere structure (body structure)","Neurotoxicity Syndromes","Glial Cell Line-Derived Neurotrophic Factor","1"
"Lobe, Frontal","Autistic Disorder","Receptor","1"
"Amygdaloid structure","cortex bone disorders","Transporter, Serotonin","1"
"Structure of suprachiasmatic nucleus","Van der Woude syndrome","Tumor Necrosis Factor-alpha","1"
"Midbrain structure","Parkinsonian Disorders","Calbindin 1","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","CDK-Activating Kinase Assembly Factor MAT1","1"
"Structure of suprachiasmatic nucleus","Gardner Syndrome","Glutamine","1"
"Neocortex","cortex bone disorders","HDAC Inhibitor SHP-141","1"
"Corpus striatum structure","Spinal Cord Diseases","Neurotensin","1"
"Structure of thalamic reticular nucleus","Prune Belly Syndrome","Calcium","1"
"Thalamic structure","Parkinson Disease","Choline O-Acetyltransferase","1"
"Pituitary Gland","Pituitary Diseases","synthetic peptide","1"
"Olfactory tubercle","Mucocutaneous Lymph Node Syndrome","APS protein, human","1"
"Basal Nucleus of Meynert","Diseases of inner ear","Receptor","1"
"Structure of nucleus gracilis","Pituitary Diseases","Pro-Opiomelanocortin","1"
"Pyramidal Cells","Sweet Syndrome","PODXL protein, human","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Cytochrome P-450 CYP2E1","1"
"Pyramidal Cells","cortex bone disorders","Tyrosine 3-Monooxygenase","1"
"Brodmann area 7","Alzheimer's Disease","APP protein, human","1"
"Gonadotrophs","Pituitary Diseases","HCRT Gene","1"
"Neostriatum","cortex bone disorders","Capsid Proteins","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Mannose-Binding Protein C","1"
"Neocortex","Retinal Diseases","ASCL1 protein, human","1"
"Cerebellum","Functional disorder","Heterochromatin","1"
"Pyramidal Cells","Alzheimer's Disease","Synucleins","1"
"Lamina Terminalis","Spinal Cord Diseases","Prolactin","1"
"Cerebral cortex","Nicolaides Baraitser syndrome","NBS1 protein, human","1"
"CA2 field","Parkinson Disease","APP protein, human","1"
"Planum polare (PP)","DISORDERS OF THE OPTIC NERVE","Cyclic AMP-Dependent Protein Kinases","1"
"Cerebellum","Thyroid Diseases","Caspase-3","1"
"Structure of dentate gyrus","Congenital infectious disease","Dipyridamole","1"
"Genus Hippocampus","Depressive disorder","TYK2 Kinase","1"
"Midbrain structure","neuropathology disease","Synucleins","1"
"Structure of anterior commissure","Virus Diseases","Aquaporin-9","1"
"Hypothalamic structure","Pancreatic Diseases","Leptin","1"
"Structure of lateral globus pallidus","Parkinson Disease","Parvalbumins","1"
"Medial Septal Nucleus","Disease Progression","Antibodies","1"
"Anteroventral Thalamic Nucleus","Alzheimer's Disease","Amyloid beta-Protein Precursor","1"
"Lobe, Frontal","Alzheimer's Disease","Receptors, Purinergic P1","1"
"Prefrontal Cortex","cortex bone disorders","Tyrosine 3-Monooxygenase","1"
