"brainregion","gene","count"
"Cerebellum","NEUROG1 Gene","6"
"Central gray substance of midbrain","SRF Gene","6"
"Motor Cortex","NR4A3 Gene","6"
"Central gray substance of midbrain","AGER Gene","6"
"Nucleus Accumbens","SLC6A4 gene","6"
"CA1 field","SOD1 wt Allele","6"
"CA1 field","NOS2 wt Allele","6"
"Cerebral hemisphere structure (body structure)","TLR4 wt Allele","6"
"Prosencephalon","HTT gene","6"
"Cerebellar cortex structure","CHAT Gene","6"
"BRAIN, HIPPOCAMPUS","CIB1 wt Allele","6"
"Area striata structure","ELK3 Gene","6"
"Nucleus fastigii","Genes","6"
"Structure of locus ceruleus","ITGAM Gene","6"
"Structure of reticular formation of medulla oblongata","PADI4 wt Allele","6"
"Prosencephalon","CREB1 Gene","6"
"Neostriatum","CDKN2B wt Allele","6"
"Parietal operculum cortex (PO)","SST Gene","6"
"Brain Stem","RASA1 wt Allele","6"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","ELK3 Gene","6"
"Entire olivary body","Chloramphenicol Acetyl Transferase Gene","6"
"Corpus striatum structure","CD3EAP wt Allele","6"
"Pyramidal Cells","GRM1 Gene","6"
"CA3 field","MPZ gene","6"
"Amygdaloid structure","FOSB wt Allele","6"
"Cerebral cortex","YAP1 wt Allele","6"
"Entire olivary body","Chloramphenicol O-Acetyltransferase","6"
"Dorsal Nucleus Raphe","OXT Gene","6"
"CA1 field","ORAI1 Gene","6"
"Hypothalamic Area, Lateral","NPY wt Allele","6"
"BRAIN, HIPPOCAMPUS","TYMP wt Allele","6"
"Structure of entorhinal cortex","Wild Type","6"
"Pars Compacta","HOXD13 wt Allele","6"
"BRAIN, HIPPOCAMPUS","ARID1A wt Allele","6"
"Cerebral cortex","GBA wt Allele","6"
"Superior colliculus of corpora quadrigemina","EPHB1 Gene","6"
"BRAIN, HIPPOCAMPUS","RTN4 wt Allele","6"
"Medial Septal Nucleus","UBA2 wt Allele","6"
"Cerebral Peduncle","GRIN2B wt Allele","6"
"Cerebral cortex","ID1 wt Allele","6"
"Pituitary Gland","RRM1 Gene","6"
"Globus Pallidus","Short Tandem Repeat","6"
"BRAIN, HIPPOCAMPUS","S100A12 wt Allele","6"
"Lobe, Frontal","DHPS wt Allele","6"
"Corpus striatum structure","GHRL Gene","6"
"Cerebral cortex","CCND1 gene","6"
"Cerebellum","CIC Gene","6"
"Posterior cerebral commissure","SERPINA1 wt Allele","6"
"Substantia nigra structure","MAPK3 Gene","6"
"Structure of ansa lenticularis","AKT1S1 wt Allele","6"
"Amygdaloid structure","FOSB Gene","6"
"Corpus striatum structure","TLR4 wt Allele","6"
"Dorsal Motor Nucleus","OXT Gene","6"
"BRAIN, HIPPOCAMPUS","S100A12 Gene","6"
"Structure of central sulcus","FASTK Gene","6"
"Structure of subiculum hippocampi","VIP Gene","6"
"Dorsal Nucleus Raphe","RANGAP1 wt Allele","6"
"Anterodorsal nucleus of thalamus","GYPA wt Allele","6"
"Pituitary Gland, Posterior","IFNAR1 Gene","6"
"Pituitary Gland","EPO wt Allele","6"
"Cerebrum","VEGFA wt Allele","6"
"Pyramidal Cells","PRRT2 wt Allele","6"
"CA1 field","ROS1 Gene","6"
"Structure of Forel's H2 bundle","CAT Gene","6"
"Genus Hippocampus","TNC Gene","6"
"Brodmann area 2","CD9 wt Allele","6"
"BRAIN, HIPPOCAMPUS","MAPK10 wt Allele","6"
"CA1 field","IL6 Gene","6"
"Paracentral Thalamic Nucleus","Long Interspersed Element","6"
"Lateral habenular nucleus","NPY wt Allele","6"
"Genus Hippocampus","GGH wt Allele","6"
"Acoustic nerve","Chloramphenicol Acetyl Transferase Gene","6"
"Brain Stem","SLC7A5 Gene","6"
"Cochlear nucleus structure","ENG wt Allele","6"
"Visual Cortex","BDNF Gene","6"
"Posterolateral auditory cortex","LINC01194 gene","6"
"Cerebellum","CD44 Gene","6"
"Cerebral cortex","PDCD4 Gene","6"
"Perforant Pathway","Wild Type","6"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","GRIN2B wt Allele","6"
"Complex, Superior Olivary","BGLAP wt Allele","6"
"Pontine structure","FANCA wt Allele","6"
"mossy fiber","SYP Gene","6"
"mossy fiber","NPY Gene","6"
"Cerebral cortex","GNAI1 wt Allele","6"
"Cerebral cortex","ROCK1 Gene","6"
"Structure of dentate gyrus","MAPK1 wt Allele","6"
"BRAIN, HIPPOCAMPUS","KDM1A wt Allele","6"
"Central gray substance of midbrain","NR4A3 wt Allele","6"
"Neostriatum","SLC18A2 Gene","6"
"Pineal gland","PODXL wt Allele","6"
"Tuberomammillary Nucleus","Long Interspersed Element","6"
"Structure of fissure of Sylvius","STS wt Allele","6"
"Anterodorsal nucleus of thalamus","MAP1LC3A Gene","6"
"Structure of nucleus infundibularis hypothalami","GHRH wt Allele","6"
"Thalamic Nuclei","SET Gene","6"
"Substantia innominata","CR2 wt Allele","6"
"BRAIN, HIPPOCAMPUS","GADD45B Gene","6"
"Hypothalamic structure","Estrogen Receptor alpha","6"
"Cerebral cortex","GYPA Gene","6"
"Basal Ganglia","MSN Gene","6"
"BRAIN, HIPPOCAMPUS","H2AFX Gene","6"
"BRAIN, HIPPOCAMPUS","PGF Gene","6"
"Basal Nucleus of Meynert","LRP2 wt Allele","6"
"BRAIN, HIPPOCAMPUS","LIF Gene","6"
"Cerebellum","CADM1 Gene","6"
"Hypothalamic structure","GRM1 wt Allele","6"
"Prosencephalon","Exons","6"
"Structure of nucleus infundibularis hypothalami","SET Gene","6"
"Midbrain structure","EHMT1 Gene","6"
"Pontine nuclei","NLRP3 wt Allele","6"
"Pituitary Gland, Posterior","GNRH1 wt Allele","6"
"Structure of body of corpus callosum","SGPL1 Gene","6"
"Visual Cortex","ELK3 Gene","6"
"Cerebral cortex","S100B wt Allele","6"
"Pituitary Gland, Anterior","CRH Gene","6"
"Neocortex","APP wt Allele","6"
"Hypothalamic structure","TNFRSF11A Gene","6"
"Marginal Sulcus","ARX gene","6"
"Pyramidal Cells","FOXD3 wt Allele","6"
"Dorsal Nucleus Raphe","DENR wt Allele","6"
"Interpeduncular nucleus","MAP Kinase Gene","6"
"Cerebral cortex","MALAT1 Gene","6"
"Genus Hippocampus","ASCL1 Gene","6"
"Basal Ganglia","ENG wt Allele","6"
"Anterodorsal nucleus of thalamus","Exons","6"
"Linear nucleus","AKT1S1 wt Allele","6"
"CA1 field","Replication Origin","6"
"Hypothalamic structure","KISS1R wt Allele","6"
"Caudate nucleus structure","SST Gene","6"
"Genus Hippocampus","PARK2 gene","6"
"Cerebral cortex","UBA2 wt Allele","6"
"Structure of capsule of red nucleus","ACKR3 gene","6"
"Genus Hippocampus","FST wt Allele","6"
"Brain Stem","NR4A3 wt Allele","6"
"Medulla Oblongata","SLC6A4 wt Allele","6"
"Substantia innominata","SH2D3C wt Allele","6"
"Superior colliculus of corpora quadrigemina","BDNF Gene","6"
"Prosencephalon","ELK3 wt Allele","6"
"Neostriatum","SUB1 wt Allele","6"
"Olivocerebellar fibers","IFNAR1 wt Allele","6"
"CA2 field","CPA1 Gene","6"
"Superior colliculus of corpora quadrigemina","RASA1 Gene","6"
"Genus Hippocampus","CTSD Gene","6"
"Ventral Posterolateral Nucleus","FLT3LG Gene","6"
"Neostriatum","IL6 Gene","6"
"Ventral Lateral Thalamic Nucleus","CAT Gene","6"
"Cerebral cortex","MAPK8 Gene","6"
"BRAIN, HIPPOCAMPUS","CANX wt Allele","6"
"Pyramidal Cells","TARP Gene","6"
"Midbrain structure","CARD8 Gene","6"
"Superior colliculus of corpora quadrigemina","SILV wt Allele","6"
"Cerebellum","PYCARD wt Allele","6"
"Structure of capsule of red nucleus","Genes","6"
"Genus Hippocampus","AREG wt Allele","6"
"Cerebral cortex","CCL5 Gene","6"
"Basal Forebrain","ENG wt Allele","6"
"Thalamic structure","NLRP3 wt Allele","6"
"Cerebellum","AIMP2 Gene","6"
"Genus Hippocampus","PDZK1 wt Allele","6"
"CA2 field","GNAI1 Gene","6"
"BRAIN, HIPPOCAMPUS","PGF wt Allele","6"
"Neocortex","HTT gene","6"
"Anterodorsal nucleus of thalamus","CTSD Gene","6"
"Caudate nucleus structure","CHAT Gene","6"
"Paracentral Thalamic Nucleus","CD69 wt Allele","6"
"Temporal Lobe","S100A1 wt Allele","6"
"BRAIN, HIPPOCAMPUS","NAMPT gene","6"
"Pineal gland","KRT17 wt Allele","6"
"Structure of supramammillary nucleus","GHRL Gene","6"
"Reticular Formation","AKT1S1 wt Allele","6"
"Genus Hippocampus","EHMT1 Gene","6"
"Structure of subiculum hippocampi","VIP wt Allele","6"
"Cerebellum","PYCARD Gene","6"
"Prosencephalon","NR4A3 wt Allele","6"
"Structure of capsule of red nucleus","SILV wt Allele","6"
"BRAIN, HIPPOCAMPUS","KAT5 Gene","6"
"CA1 field","RPS19 wt Allele","6"
"BRAIN, HIPPOCAMPUS","Regulatory Sequences, Nucleic Acid","6"
"Brain Stem","MET Gene","6"
"BRAIN, HIPPOCAMPUS","CREBBP Gene","6"
"Basal Ganglia","CD55 wt Allele","6"
"Somatosensory Cortex","AKR1A1 wt Allele","6"
"Cerebral hemisphere structure (body structure)","ESR1 wt Allele","6"
"Prosencephalon","EPHB1 Gene","6"
"BRAIN, HIPPOCAMPUS","PPT1 gene","6"
"Purkinje Cells","KNG1 wt Allele","6"
"Hypothalamic structure","HPSE wt Allele","6"
"Cerebral cortex","S100A10 Gene","6"
"CA1 field","AIMP2 Gene","6"
"Cerebral hemisphere structure (body structure)","APOE gene","6"
"BRAIN, HIPPOCAMPUS","FLT3LG wt Allele","6"
"Lobe, Frontal","C3 Gene","6"
"Internal capsule of brain","PCYT1A wt Allele","6"
"CA3 field","NDOR1 Gene","6"
"Purkinje Cells","KNG1 Gene","6"
"Neostriatum","SUB1 Gene","6"
"Paracentral Thalamic Nucleus","SERPINA1 gene","6"
"Amygdaloid structure","YY1 wt Allele","6"
"Structure of paraventricular nucleus of thalamus","RASA1 wt Allele","6"
"Thalamic structure","CRH wt Allele","6"
"Medulla Oblongata","PAG1 wt Allele","6"
"Bundle, Predorsal","SET Gene","6"
"BRAIN, HIPPOCAMPUS","CTTN Gene","6"
"Structure of lateral olfactory gyrus","TECTA Gene","6"
"Cerebellum","KIT wt Allele","6"
"BRAIN, HIPPOCAMPUS","HSPB1 Gene","6"
"Brain White Matter","CD69 wt Allele","6"
"Cerebellum","MAPK14 wt Allele","6"
"Structure of suprachiasmatic nucleus","Alleles","6"
"Cerebral cortex","CCR5 gene","6"
"Neostriatum","DRD1 Gene","6"
"Genus Hippocampus","F3 Gene","6"
"Thalamic structure","NOS1 wt Allele","6"
"CA2 field","CPA1 wt Allele","6"
"Brain Stem","SLC7A5 wt Allele","6"
"Entire medulla oblongata","LTF Gene","6"
"CA1 field","CDKN2A gene","6"
"Genus Hippocampus","CA9 Gene","6"
"Structure of dentate gyrus","HCRT Gene","6"
"Prosencephalon","CSPG4 Gene","6"
"Brain Stem","PSIP1 Gene","6"
"Central gray substance of midbrain","SLC1A2 Gene","6"
"Hypothalamic structure","INSR Gene","6"
"Pituitary Stalk","GNRH1 wt Allele","6"
"Structure of locus ceruleus","GFAP gene","6"
"Neocortex","TARDBP wt Allele","6"
"Medial Septal Nucleus","FASTK Gene","6"
"Genus Hippocampus","S100A10 wt Allele","6"
"Structure of piriform area","TECTA Gene","6"
"Cerebral hemisphere structure (body structure)","LEP Gene","6"
"Midbrain structure","IRF6 wt Allele","6"
"Cerebral hemisphere structure (body structure)","TLR2 wt Allele","6"
"Hypothalamic structure","Exons","6"
"Neostriatum","TNC Gene","6"
"Genus Hippocampus","BCL2L11 wt Allele","6"
"CA2 field","MPZ gene","6"
"Cerebellum","AIMP2 wt Allele","6"
"Stria medullaris","F3 Gene","6"
"CA1 field","GRIA3 wt Allele","6"
"Hypothalamic structure","FFAR1 wt Allele","6"
"Cerebral Ventricles","INS gene","6"
"Genus Hippocampus","LCN2 Gene","6"
"CA1 field","Plasmids","6"
"Structure of dentate gyrus","INS gene","6"
"Corpus striatum structure","BECN1 Gene","6"
"Pyramidal Cells","CDKN2B wt Allele","6"
"Temporal Lobe","S100B wt Allele","6"
"Prefrontal Cortex","NOS2 wt Allele","6"
"Neostriatum","PODXL Gene","6"
"Amygdaloid structure","ERBB4 Gene","6"
"Structure of piriform area","NCAM1 wt Allele","6"
"Lobe, Frontal","NR3C1 Gene","6"
"CA1 field","FBXO11 Gene","6"
"Cerebral hemisphere structure (body structure)","APP wt Allele","6"
"Cerebral cortex","MMP9 Gene","6"
"Cerebral cortex","RIPK3 Gene","6"
"Pyramidal Cells","Short Tandem Repeat","6"
"Prefrontal Cortex","IL12A wt Allele","6"
"Neostriatum","GRM5 wt Allele","6"
"Cerebral cortex","MPO Gene","6"
"BRAIN, HIPPOCAMPUS","LRRTM2 Gene","6"
"Structure of thalamic reticular nucleus","TNF Gene","6"
"Structure of supramammillary nucleus","TNFRSF11A wt Allele","6"
"Area striata structure","ARID1B wt Allele","6"
"Pedunculopontine Tegmental Nucleus","c-fos Genes","6"
"Median eminence of hypothalamus","GH1 Gene","6"
"Brain Stem","TFRC wt Allele","6"
"BRAIN, HIPPOCAMPUS","MFN2 gene","6"
"BRAIN, HIPPOCAMPUS","TMPO wt Allele","6"
"BRAIN, HIPPOCAMPUS","LRP8 wt Allele","6"
"mossy fiber","Genes","6"
"Corpus striatum structure","LMNA wt Allele","6"
"Pituitary cell","Long Interspersed Element","6"
"Lateral Parabrachial Nucleus","CEACAM5 wt Allele","6"
"Brain Stem","CUX1 wt Allele","6"
"Area striata structure","CD69 wt Allele","6"
"Amygdaloid structure","FOS Gene","6"
"Median preoptic nucleus","OXT Gene","6"
"Neocortex","Transgenes","6"
"Orbitofrontal cortex","HOXA10 wt Allele","6"
"Structure of lateral olfactory gyrus","GFAP gene","6"
"Posterior cerebral commissure","SIRT1 Gene","6"
"Ventral premammillary nucleus","KISS1 Gene","6"
"Auditory area","c-fos Genes","6"
"Cerebellum","ITPR1 wt Allele","6"
"CA1 field","PTEN gene","6"
"Parietal Lobe","RPL5 wt Allele","6"
"BRAIN, HIPPOCAMPUS","ADORA2A wt Allele","6"
"Prefrontal Cortex","APP gene","6"
"Prefrontal Cortex","RPL29 Gene","6"
"Nucleus Accumbens","EPHB2 Gene","6"
"Paracentral sulcus","GRM1 Gene","6"
"Cerebellum","HLA-DQA1 wt Allele","6"
"Cerebral cortex","NEDD4 Gene","6"
"Lateral geniculate complex","SET Gene","6"
"Anterodorsal nucleus of thalamus","CLU Gene","6"
"Genus Hippocampus","MPO Gene","6"
"Structure of medial preoptic nucleus","LEP Gene","6"
"CA3 field","DCX gene","6"
"BRAIN, HIPPOCAMPUS","TYMP Gene","6"
"Nuclei, Raphe","TH gene","6"
"Cerebral cortex","ATF5 Gene","6"
"Median eminence of hypothalamus","GRP Gene","6"
"Structure of paraventricular nucleus","HCRT Gene","6"
"Cerebral cortex","Oncogene MAX","6"
"Genus Hippocampus","GST Gene","6"
"Cerebellum","FGFR1 gene","6"
"Nucleus Basalis Magnocellularis","NGFR Gene","6"
"Genus Hippocampus","NLRP1 Gene","6"
"Purkinje Cells","AR wt Allele","6"
"Anterodorsal nucleus of thalamus","MTR wt Allele","6"
"Parietal operculum cortex (PO)","DST Gene","6"
"Structure of suprachiasmatic nucleus","Transgenes","6"
"Prosencephalon","MPZ gene","6"
"Paracentral Thalamic Nucleus","AREG wt Allele","6"
"Hypothalamic structure","Neuropeptide Gene","6"
"Auditory Hair Cell","NFATC4 Gene","6"
"Visual Cortex","GRIN2B wt Allele","6"
"Ventral Tegmental Area","NLRP1 wt Allele","6"
"Lobe, Frontal","SET Gene","6"
"Anterodorsal nucleus of thalamus","PLG Gene","6"
"Hypothalamic structure","Internal Ribosome Entry Site","6"
"Prosencephalon","INSR Gene","6"
"Purkinje Cells","IGF1 Gene","6"
"CA2 field","FZD9 wt Allele","6"
"CA2 field","F2 gene","6"
"Cortex, Primary Motor","ELK3 wt Allele","6"
"Genus Hippocampus","CBS gene","6"
"Basal Ganglia","DRD2 wt Allele","6"
"Prosencephalon","PSEN1 gene","6"
"Dorsal Nucleus Raphe","Promoter","6"
"Cochlear Nerve","ARID1A wt Allele","6"
"BRAIN, HIPPOCAMPUS","LRP8 Gene","6"
"Lateral ventricle structure","Genes","6"
"Neostriatum","ADORA2A wt Allele","6"
"CA1 field","BECN1 wt Allele","6"
"Amygdaloid Nucleus, Cortical","ASAH1 wt Allele","6"
"Structure of angular gyrus","ANGPT1 Gene","6"
"Hypothalamic Area, Lateral","SH2D1A gene","6"
"CA2 field","Genes, Immediate-Early","6"
"Anterodorsal nucleus of thalamus","PIK3CA wt Allele","6"
"Anterodorsal nucleus of thalamus","NUMB Gene","6"
"Hypothalamic structure","TNFRSF11A wt Allele","6"
"Pituitary Stalk","VIP wt Allele","6"
"Temporal Lobe","APP wt Allele","6"
"Motor Cortex","GFAP gene","6"
"Complex, Superior Olivary","CHAT Gene","6"
"Prefrontal Cortex","ACACA wt Allele","6"
"BRAIN, HIPPOCAMPUS","CIB1 Gene","6"
"Structure of nucleus infundibularis hypothalami","GFAP gene","6"
"Lateral Parabrachial Nucleus","CEACAM5 Gene","6"
"Pituitary Gland","OXT wt Allele","6"
"Purkinje Cells","RORA Gene","6"
"Prosencephalon","Enhancer of transcription","6"
"Entire medulla oblongata","Genes","6"
"Structure of paraventricular nucleus of thalamus","RASA1 Gene","6"
"Hypothalamic structure","ELL wt Allele","6"
"Genus Hippocampus","PSAP gene","6"
"Posterior cerebral commissure","CD69 wt Allele","6"
"BRAIN, HIPPOCAMPUS","SS18L1 wt Allele","6"
"Structure of anterior commissure","NLRP3 wt Allele","6"
"Cerebellum","MTOR Gene","6"
"Pedunculopontine Tegmental Nucleus","TH gene","6"
"Preoptic Areas","Long Interspersed Element","6"
"Lobe, Frontal","Genome","6"
"Pineal gland","PROC Gene","6"
"Structure of rhomboidal nucleus of thalamus","GGH wt Allele","6"
"Structure of piriform area","ATP8A2 wt Allele","6"
"Corpus striatum structure","GRIN2A Gene","6"
"Pyramidal Cells","LEP Gene","6"
"Cerebellum","TARP Gene","6"
"Cerebral hemisphere structure (body structure)","CTSG wt Allele","6"
"Structure of superior central nucleus of pons","LEPR wt Allele","6"
"Amygdaloid structure","GRIN2B Gene","6"
"Neostriatum","PROC wt Allele","6"
"Genus Hippocampus","BCL2L11 Gene","6"
"Purkinje Cells","C3 Gene","6"
"Cerebral cortex","TACR1 wt Allele","6"
"BRAIN, HIPPOCAMPUS","SEMA3F Gene","6"
"Temporal Lobe","MRC1 Gene","6"
"Cerebral cortex","LIPC wt Allele","6"
"Genus Hippocampus","LIPC Gene","6"
"Linear nucleus","Chloramphenicol O-Acetyltransferase","6"
"Entire basal nuclei","CHAT Gene","6"
"Hypothalamic structure","SLC2A4 Gene","6"
"Cerebral cortex","TAF1 Gene","6"
"Structure of nucleus infundibularis hypothalami","SIRT1 Gene","6"
"Cerebral cortex","CYP19A1 Gene","6"
"Ventral Tegmental Area","GRIN2B wt Allele","6"
"Brain Stem","TNFRSF1B wt Allele","6"
"Pyramidal Cells","ELANE wt Allele","6"
"Preoptic Areas","ETV6 Gene","6"
"Substantia nigra structure","TLR4 wt Allele","6"
"Cortex, Primary Motor","GRIN2B Gene","6"
"Triangular Septal Nucleus","THBD wt Allele","6"
"Bundle, Predorsal","GBA gene","6"
"Thalamic structure","CDKN2A wt Allele","6"
"Cerebellum","VTN Gene","6"
"Structure of lateral olfactory gyrus","ATP8A2 wt Allele","6"
"Cerebral hemisphere structure (body structure)","MAPK14 Gene","6"
"Substantia innominata","CD55 wt Allele","6"
"Thalamic structure","CP Gene","6"
"Neostriatum","GPER1 gene","6"
"Anterodorsal nucleus of thalamus","Promoter","6"
"Pituitary Gland","NR3C2 Gene","6"
"BRAIN, HIPPOCAMPUS","TFF3 wt Allele","6"
"Complex, Superior Olivary","BGLAP Gene","6"
"Hypoglossal nerve nucleus","TARDBP wt Allele","6"
"Nucleus Raphe Magnus","GNAI1 Gene","6"
"Brain Stem","Enhancer of transcription","6"
"Cerebellum","CACNA1A gene","6"
"Ventral Tegmental Area","FOS Gene","6"
"Structure of angular gyrus","HSPG2 Gene","6"
"Dorsal Nucleus Raphe","SET Gene","6"
"Cerebellar Nuclei","SST Gene","6"
"Hypothalamic structure","SIM1 Gene","6"
"Central insular sulcus","Long Interspersed Element","6"
"BRAIN, HIPPOCAMPUS","FURIN Gene","6"
"Substantia nigra structure","MAPK3 wt Allele","6"
"Cerebellar cortex structure","FASTK Gene","6"
"Cerebellum","DNA, Mitochondrial","6"
"Telencephalon","CDKN2A wt Allele","6"
"CA2 field","S100A9 wt Allele","6"
"Structure of lateral mammillary nucleus","SST Gene","6"
"Linear nucleus","NR3C1 Gene","6"
"Motor Cortex","GRIN2B Gene","6"
"Preoptic Areas","CYP19A1 wt Allele","6"
"Substantia nigra structure","S100A9 wt Allele","6"
"CA1 field","FMR1 gene","6"
"Posterior cerebral commissure","AREG wt Allele","6"
"Structure of subthalamic nucleus","SET Gene","6"
"CA2 field","GNAI1 wt Allele","6"
"Thalamic structure","S100A9 wt Allele","6"
"BRAIN, HIPPOCAMPUS","SH3PXD2A wt Allele","6"
"Habenula","c-fos Genes","6"
"Genus Hippocampus","TXNRD1 wt Allele","6"
"BRAIN, HIPPOCAMPUS","EIF4EBP1 wt Allele","6"
"Structure of olfactory bulb","MAPK7 Gene","6"
"Interpeduncular nucleus","Long Interspersed Element","6"
"Structure of locus ceruleus","Genes, Immediate-Early","6"
"Cerebral cortex","EGFR gene","6"
"CA2 field","CNR1 gene","6"
"Cerebral cortex","LIPC Gene","6"
"Lateral ventricle structure","CHAT Gene","6"
"Cerebellum","CR2 wt Allele","6"
"Basal Forebrain","GPER1 gene","6"
"CA1 field","APP wt Allele","6"
"Ventral Tegmental Area","HOXA10 wt Allele","6"
"Medial Septal Nucleus","CD69 wt Allele","6"
"Preoptic Areas","EREG wt Allele","6"
"Structure of subthalamic nucleus","HCRT Gene","6"
"Pontine nuclei","AVP wt Allele","6"
"Medulla Oblongata","ARID1A wt Allele","6"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","ELK3 wt Allele","6"
"Corpus Callosum","BDNF Gene","6"
"Hypothalamic structure","CRHR1 Gene","6"
"BRAIN, HIPPOCAMPUS","RUNX1T1 wt Allele","6"
"Pyramidal Cells","POSTN wt Allele","6"
"Hypothalamic structure","GRM5 wt Allele","6"
"Dorsal Nucleus Raphe","PLOD1 gene","6"
"BRAIN, HIPPOCAMPUS","LRP2 Gene","6"
"Thalamic structure","SHH Gene","6"
"Lobe, Frontal","PRNP gene","6"
"Basal Forebrain","GPER wt Allele","6"
"Marginal Sulcus","FASTK Gene","6"
"Genus Hippocampus","KDM1A Gene","6"
"Amygdaloid structure","Alleles","6"
"Midbrain structure","GATA2 Gene","6"
"CA1 field","PIK3CA wt Allele","6"
"BRAIN, HIPPOCAMPUS","PPARG Gene","6"
"Cerebral cortex","CXCL10 wt Allele","6"
"Fornix, Brain","MTR wt Allele","6"
"Cerebellum","NCAM1 wt Allele","6"
"Acoustic nerve","Chloramphenicol O-Acetyltransferase","6"
"Structure of angular gyrus","HSPG2 wt Allele","6"
"Medial geniculate body","Chloramphenicol O-Acetyltransferase","6"
"Corticotroph","AKT1S1 wt Allele","6"
"Central gray substance of midbrain","AGER wt Allele","6"
"Cerebellum","Insulin-Like-Growth Factor I Receptor","6"
"Brain Stem","CNR1 gene","6"
"Neostriatum","PROC Gene","6"
"Genus Hippocampus","HOXA10 wt Allele","6"
"Cerebral cortex","PADI4 wt Allele","6"
"Cerebral cortex","SIRT3 Gene","6"
"Cerebral hemisphere structure (body structure)","VIM gene","6"
