"mental","disease","count"
"Compulsive checking","Sensitization (disorder)","2"
"Wakefulness","Attention deficit hyperactivity disorder","2"
"Communication Response","Chronic Kidney Diseases","2"
"Anxiety","Phobic anxiety disorder","2"
"Fetal Alcohol Syndrome","Neurodevelopmental disorder","2"
"Cognition","Liver diseases","2"
"Forgetful","Parkinsonian Disorders","2"
"Tinnitus","Syndrome","2"
"Thermal threshold","Autistic Disorder","2"
"Alcohol consumption","Post-Concussion Syndrome","2"
"Desire for food","Mood Disorders","2"
"Performance","Deglutition Disorders","2"
"Fasting","Melkersson-Rosenthal Syndrome","2"
"Memory","Liver diseases","2"
"DEPRESSION MENTAL","Eating Disorders","2"
"Projection Defense Mechanism","Brain Diseases","2"
"Mental concentration","Vasodilation disorder","2"
"Incentives","Irritable Bowel Syndrome","2"
"Attention","Adult Fanconi syndrome","2"
"Social isolation","Anxiety Disorders","2"
"Learning ability","Functional disorder","2"
"Habituation, Psychophysiologic","Autistic Disorder","2"
"Sad mood","Depressive disorder","2"
"Seizures","Mood Disorders","2"
"Automobile Driving","Disorder nervous system","2"
"Memory, Long-Term","Disorders, Mental","2"
"Behavioral Symptoms","Syndrome","2"
"Powers (Psychology)","Peripheral Arterial Diseases","2"
"Visual Discrimination","Retinal Diseases","2"
"Mental association","CNS disorder","2"
"Psychological inhibition","Chorea Acanthocytosis Syndrome","2"
"Attention","Lewy Body Disease","2"
"Autistic Disorder","DiGeorge Syndrome","2"
"Sex Behavior","Clinically isolated syndrome","2"
"Involvement with","Developmental arithmetic disorder","2"
"biological adaptation to stress","Anxiety Disorders","2"
"Experience","Alcohol use disorder","2"
"Behavioral Symptoms","Disease Progression","2"
"Puberty","Skin endocrine disorder","2"
"Educational Status","Bipolar Disorder","2"
"Imagery","Movement Disorders","2"
"Low motivation","Disorder nervous system","2"
"Disorientation","Developmental arithmetic disorder","2"
"Cognitive information processing","Pervasive Development Disorder","2"
"Grooming","Depressive disorder","2"
"Pain","Psychotic Disorders","2"
"Drug Dependence","Hamartoma Syndrome, Multiple","2"
"Periodontal Diseases","Disease Progression","2"
"Involvement with","Degenerative brain disorder","2"
"Dark Adaptation","DISORDERS OF THE OPTIC NERVE","2"
"Disputes","Psychotic Disorders","2"
"Mood","Movement Disorders","2"
"Avoidance behavior","Hamartoma Syndrome, Multiple","2"
"Habituation, Psychophysiologic","Hodgkin Disease","2"
"Cognition","Degenerative disorder","2"
"Insight","Sleep Apnea Syndromes","2"
"Maladaptive behavior","Functional disorder","2"
"Mental association","Renal glomerular disease","2"
"Ethanol","Mucocutaneous Lymph Node Syndrome","2"
"Physical activity","Colonic Diseases","2"
"Pain","Menkes Kinky Hair Syndrome","2"
"Conditionings (Psychology)","neuropathology disease","2"
"Prepuberty","cortex bone disorders","2"
"Alcohol abuse","Psychotic Disorders","2"
"Binge Drinking","Recurrent disease","2"
"Communications Media","Behcet Syndrome","2"
"Sex Behavior","Fetal Alcohol Syndrome","2"
"Feedback - evaluative response process","Coffin-Siris syndrome","2"
"Visuospatial Ability","Alzheimer's Disease","2"
"Hope","Brain Diseases","2"
"Executive Function","Pervasive Development Disorder","2"
"Insight","Liver diseases","2"
"Pain","Memory Disorders","2"
"Desire for food","Eating Disorders","2"
"Drug Tolerance","Functional disorder","2"
"Sex Behavior","Cockayne Syndrome, Type II","2"
"competition","Functional disorder","2"
"Success","Pancreatic Diseases","2"
"Age-related cognitive decline","Disease Progression","2"
"Anxiety and fear","Anxiety Disorders","2"
"Sets (Psychology)","Bipolar I disorder","2"
"Drug Tolerance","Disorder nervous system","2"
"Availability of","Cat-Scratch Disease","2"
"Sleep Deprivation","Disorder nervous system","2"
"Tobacco user","Functional disorder","2"
"Motion Perception","Retinal Diseases","2"
"Communication Response","Pelizaeus-Merzbacher Disease","2"
"Hostility","Depressive disorder","2"
"Mood Disorders","Attention Deficit Disorder","2"
"Feeling mixed emotions","Psychotic Disorders","2"
"Performance","Norrie disease","2"
"Body Weight","Metabolic Syndrome X","2"
"Impaired cognition","Degenerative brain disorder","2"
"Memory Disorders","cortex bone disorders","2"
"Chewing","Spinal Cord Diseases","2"
"Speech and language disorder","Autism Spectrum Disorders","2"
"Communication Response","Norrie disease","2"
"Perseveration","Disorders, Mental","2"
"Insight","Van der Woude syndrome","2"
"Learning Disorders","Fetal Alcohol Spectrum Disorders","2"
"Projection Defense Mechanism","Dystonia Disorders","2"
"Physiologic Thermoregulation","Timothy syndrome","2"
"Methamphetamine","Myeloproliferative Syndrome, Transient","2"
"Drug Tolerance","Pituitary Diseases","2"
"Desire for food","Sensitization (disorder)","2"
"Seizures","Russell-Silver syndrome","2"
"Psychological suppression","Renal glomerular disease","2"
"Persistence","Sequela of disorder","2"
"Confidence","Parkinson Disease","2"
"Tracking","Brain Diseases","2"
"Stress, Psychological","Stress Disorders, Traumatic","2"
"Attention","Parkinsonian Disorders","2"
"Conflicts (Psychology)","cortex bone disorders","2"
"Memory, Short-Term","Idiopathic pneumonia syndrome","2"
"Interested","Meningeal disorder","2"
"Reading","Language Disorders","2"
"Sensory Process","Stress Disorders, Traumatic","2"
"Social Role","Duane Retraction Syndrome","2"
"Depressive Symptoms","neuropathology disease","2"
"Sets (Psychology)","Brain Diseases","2"
"Abnormal behavior","Degenerative disorder","2"
"Hearing impairment","Dermatologic disorders","2"
"Feedback - system communication","Autism Spectrum Disorders","2"
"Performance","Acute infectious disease","2"
"Uncertainty","Hypertensive disease","2"
"Emotions","Fetal Alcohol Spectrum Disorders","2"
"Eating","Metabolic Syndrome X","2"
"Nervousness","Disorders, Mental","2"
"Akathisia","Extrapyramidal Disorders","2"
"Stereotyped Behavior","Gilles de la Tourette syndrome","2"
"Body Weight","Muckle-Wells Syndrome","2"
"Social Role","Other and unspecified disorders of the circulatory system","2"
"Body Weight","Brain Diseases","2"
"smell perception","Severe Acute Respiratory Syndrome","2"
"Mental association","Swine Vesicular Disease","2"
"Mental Processes","Mood Disorders","2"
"Discussion","Autism Spectrum Disorders","2"
"Fasting","Pendred's syndrome","2"
"Mental concentration","Herpes zoster disease","2"
"Emotional Strain","Acute infectious disease","2"
"Psychological inhibition","Psychotic Disorders","2"
"competition","Norrie disease","2"
"Emotions","Borderline Personality Disorder","2"
"Irritable Mood","Sensitization (disorder)","2"
"Performance","Mesulam Syndrome","2"
"Sex Behavior","Restless Legs Syndrome","2"
"memory process","Recurrent disease","2"
"Sex Behavior","Lafora Disease","2"
"Behavioral tic","Attention deficit hyperactivity disorder","2"
"Play","Communicable Diseases","2"
"Perception","Phantom limb syndrome","2"
"Conscious","Brain Diseases","2"
"competition","Disorders, Mental","2"
"psychological orientation","Mobius Syndrome","2"
"sharing","Disorders, Mental","2"
"At risk for violence","Psychotic Disorders","2"
"Insight","Williams Syndrome","2"
"Mental association","Hereditary Diseases","2"
"Sexism","Autistic Disorder","2"
"Social Behavior","Attention deficit hyperactivity disorder","2"
"Drug abuse","Neurotoxicity Syndromes","2"
"Feedback - evaluative response process","Hypertensive disease","2"
"Uncertainty","Bipolar Disorder","2"
"Hearing problem","Diseases of inner ear","2"
"Communication Response","Disorder of eye","2"
"Recognition (Psychology)","Van der Woude syndrome","2"
"Communication Response","Impulse Control Disorders","2"
"Sensory Process","Fetal Alcohol Syndrome","2"
"Reduced concentration","Alzheimer's Disease","2"
"Cocaine","Disorders, Mental","2"
"Deafness","Tietz syndrome","2"
"Hyperactive behavior","Conduct Disorder","2"
"Psychological Transfer","Neurotoxicity Syndromes","2"
"Availability of","Psychotic Disorders","2"
"DEPRESSION MENTAL","Stereotypic Movement Disorder","2"
"Comprehension","Inflammatory Bowel Diseases","2"
"Retentions (Psychology)","Disorders, Mental","2"
"Problem Solving","cortex bone disorders","2"
"Methamphetamine","Renal glomerular disease","2"
"Reproduction","Klinefelter Syndrome","2"
"Cocaine","Huntington Disease","2"
"Play","Sensorineural hearing loss (disorder)","2"
"Memory, Short-Term","Melkersson-Rosenthal Syndrome","2"
"Speech","Motor Neuron Disease","2"
"Judgment","Myeloproliferative Syndrome, Transient","2"
"Obsessive-Compulsive Personality","Disorders, Mental","2"
"Automobile Driving","Hypertensive disease","2"
"Vision","Guillain-Barre Syndrome","2"
"Decision Making","Neurotoxicity Syndromes","2"
"Behavioral Symptoms","Anxiety Disorders","2"
"Physical activity","Hamartoma Syndrome, Multiple","2"
"Communication Response","Salivary Gland Diseases","2"
"Response to stimulus physiology","Timothy syndrome","2"
"Ethanol","Mood Disorders","2"
"Behavioral change","Fragile X Syndrome","2"
"Mental association","Crohn Disease","2"
"Craving for alcohol","Major Depressive Disorder","2"
"Brain Death","Spinal Cord Diseases","2"
"Decision Making","Anxiety Disorders","2"
"Social Interaction","Chronic granulomatous disease","2"
"Behavior","Bardet-Biedl Syndrome","2"
"Stress","Cushing Syndrome","2"
"Comprehension","Alcohol use disorder","2"
"Sleep","Dyskinetic syndrome","2"
"Feedback - evaluative response process","Herpes zoster disease","2"
"Retentions (Psychology)","Neurodegenerative Disorders","2"
"Seizures","Chronic disease","2"
"Persistence","Acute infectious disease","2"
"Chronic pain","Sensory Disorders","2"
"Running","Neurotoxicity Syndromes","2"
"Vision","Leigh Disease","2"
"Social Role","Niemann-Pick Diseases","2"
"Discussion","Cerebellar Diseases","2"
"Depressed mood","Substance Withdrawal Syndrome","2"
"Hearing","Pervasive Development Disorder","2"
"Regular exercise (observable entity)","Alzheimer's Disease","2"
"Sex Behavior","Mucocutaneous Lymph Node Syndrome","2"
"Fighting","Depressive disorder","2"
"Aggressive behavior","Disorder nervous system","2"
"Cocaine","Delirium, Dementia, Amnestic, Cognitive Disorders","2"
"Fear","Bardet-Biedl Syndrome","2"
"Unipolar Depression","Skin endocrine disorder","2"
"Agitation","Functional disorder","2"
"Motivation","Movement Disorders","2"
"Stereotypic Movement Disorder","Syndrome, Bloch-Sulzberger","2"
"Chronic pain","Herpes zoster disease","2"
"Ability to interact with others","Stereotypic Movement Disorder","2"
"High risk of","Neurodegenerative Disorders","2"
"Form Perception","Spinal Cord Diseases","2"
"Performance","Anxiety Disorders","2"
"Abnormal behavior","Sequela of disorder","2"
"Like","Guillain-Barre Syndrome","2"
"Activities of Daily Living","Sweet Syndrome","2"
"Consideration","Parkinsonian Disorders","2"
"Fatigue","Chronic inflammatory disorder","2"
"Availability of","Movement Disorders","2"
"Eye Movements","Parkinsonian Disorders","2"
"Mood Disorders","Sleep Disorders","2"
"Smoker","Clinically isolated syndrome","2"
"Consensus","Depressive disorder","2"
"Projection Defense Mechanism","Corneal Diseases","2"
"Recognition (Psychology)","Cerebellar Diseases","2"
"Involvement with","Kallmann Syndrome","2"
"Behavior","Acute ill-defined cerebrovascular disease","2"
"Feedback - system communication","Ovarian Diseases","2"
"Presbycusis","Sensorineural hearing loss (disorder)","2"
"Fasting","Gilles de la Tourette syndrome","2"
"Wakefulness","Anxiety Disorders","2"
"Executive Function","Depressive disorder","2"
"Insight","Meconium Aspiration Syndrome","2"
"Impaired cognition","Migraine Disorders","2"
"Reaction Time","Speech Disorders","2"
"Fasting","Major Depressive Disorder","2"
"Anxiety","Lung Diseases, Obstructive","2"
"Social Role","Occlusion of artery (disorder)","2"
"Sensory Integration","Functional disorder","2"
"Aversion (finding)","Conduct Disorder","2"
"Depressive Symptoms","Stress Disorders, Traumatic","2"
"Spatial Memory","Autistic Disorder","2"
"Learning Disabilities","Pervasive Development Disorder","2"
"Sleep","Cardio-facio-cutaneous syndrome","2"
"Dyslexia","Developmental arithmetic disorder","2"
"Paralysed","Lung diseases","2"
"Visuospatial Ability","Williams Syndrome","2"
"Memory","Hereditary Diseases","2"
"Language Disorders","Alzheimer's Disease","2"
"Affective Symptoms","Depressive disorder","2"
"Voice","Parkinson Disease","2"
"Explicit memory","Alzheimer's Disease","2"
"Uncertainty","Disorders, Mental","2"
"Feedback - system communication","Autistic Disorder","2"
"DEPRESSION MENTAL","General Adaptation Syndrome","2"
"Memory impairment","Speech Disorders","2"
"Mental concentration","Irritable Bowel Syndrome","2"
"Desire for food","Metabolic Diseases","2"
"Erectile dysfunction","Sensory Disorders","2"
"Fatigue","Chromosome 11p11.2 Deletion Syndrome","2"
"Attention","Major Depressive Disorder","2"
"Seasonal Affective Disorder","Autism Spectrum Disorders","2"
"Comprehension","Sensorineural hearing loss (disorder)","2"
"Low Risk","Alzheimer's Disease","2"
"Attack behavior","Inflammatory disorder","2"
"Motivation","Alzheimer's Disease","2"
"Anxiety","other psychiatric disorders","2"
"Unipolar Depression","Cerebrovascular Disorders","2"
"Psychological suppression","Seasonal Affective Disorder","2"
"Insight","Movement Disorders","2"
"Feeling content","Cyclothymic Disorder","2"
"Blunted affect","Psychotic Disorders","2"
"Hunger","Depressive disorder","2"
"Persistence","Testicular Diseases","2"
"Mental concentration","Metabolic Syndrome X","2"
"Interested","Metabolic Diseases","2"
"Anxiety","Generalized Anxiety Disorder","2"
"Social isolation","Autism Spectrum Disorders","2"
"C","Skin endocrine disorder","2"
"Forgetful","Autistic Disorder","2"
"Sets (Psychology)","Nijmegen Breakage Syndrome","2"
"Memory, Episodic","Neurodegenerative Disorders","2"
"Drug Dependence","Fetal Alcohol Syndrome","2"
"Visual Fields","Nose Diseases","2"
"Communication Response","Rabies (disorder)","2"
"Ethanol","Retinal Diseases","2"
"Impulsive Behavior","neuropathology disease","2"
"Methamphetamine","Conjunctival Diseases","2"
"Articulation Disorders","Articulation Disorders","2"
"Social Role","Pyruvate Dehydrogenase Complex Deficiency Disease","2"
"Sexual abuse","Psychotic Disorders","2"
"Alcoholics","Alcohol use disorder","2"
"Like","Acquired Immunodeficiency Syndrome","2"
"Binge Drinking","Disorders, Mental","2"
"Ethanol","Autistic Disorder","2"
"Psychological inhibition","Hyposmolality syndrome","2"
"Mental concentration","Mood Disorders","2"
"Mental Retardation","Fragile X Tremor Ataxia Syndrome","2"
"Language Disorders","Neurodegenerative Disorders","2"
"Communication Response","Hodgkin Disease","2"
"Mood Disorders","Cardiovascular Diseases","2"
"Attention","DISORDERS OF THE OPTIC NERVE","2"
"Abstract thinking ability","Depressive disorder","2"
"Sets (Psychology)","Inclusion body myositis (disorder)","2"
"Like","Zellweger Syndrome","2"
"Body Weight","Parkinsonian Disorders","2"
"Hypokinesia","Ataxia as late effect of cerebrovascular disease","2"
"Social Adjustment","Pervasive Development Disorder","2"
"Sedentary lifestyle","Cardiovascular Diseases","2"
"Knight's move in thought","Alzheimer's Disease","2"
"Learning","Timothy syndrome","2"
"Pain","Post-Traumatic Stress Disorder","2"
"Stress, Psychological","Disorder nervous system","2"
"Learning","Gilles de la Tourette syndrome","2"
"Hyperactive behavior","Polycystic Ovary Syndrome","2"
"Puberty","Neurodevelopmental disorder","2"
"Drug Tolerance","Alcohol use disorder","2"
"Decision Making","Substance Use Disorders","2"
"Reaction Time","Van der Woude syndrome","2"
"Indifferent mood","Disorders, Mental","2"
"Sex Behavior","Norrie disease","2"
"Coitus","Generalized Anxiety Disorder","2"
"Perception","Mesulam Syndrome","2"
"Pain Threshold","Spinal Cord Diseases","2"
"Panic Disorder","Post-Traumatic Stress Disorder","2"
"Psychological inhibition","Opitz-Frias syndrome","2"
